//Exported ASCII-File
[Header]
FileName = D:\User\Wieser\Cascades_day6.wip
GraphName = CC9_MI1_OL_20X
SizeX = 1
SizeY = 1
SizeGraph = 1024
PositionUnit = µm
PositionX = -124.4
PositionY = -2.9
PositionZ = 0
XAxisUnit = rel. 1/cm
DataUnit = CCD cts

[Data]
X-Axis	CC9_MI1_OL_20X
 1.039686300E+03	 7.557000122E+02
 1.044153323E+03	 7.560000000E+02
 1.048618050E+03	 7.575999756E+02
 1.053080482E+03	 7.544000244E+02
 1.057540620E+03	 7.535999756E+02
 1.061998466E+03	 7.542999878E+02
 1.066454022E+03	 7.532999878E+02
 1.070907288E+03	 7.525999756E+02
 1.075358266E+03	 7.522000122E+02
 1.079806958E+03	 7.525999756E+02
 1.084253364E+03	 7.500000000E+02
 1.088697487E+03	 7.525000000E+02
 1.093139327E+03	 7.515000000E+02
 1.097578887E+03	 7.520000000E+02
 1.102016167E+03	 7.509000244E+02
 1.106451169E+03	 7.527000122E+02
 1.110883895E+03	 7.525999756E+02
 1.115314345E+03	 7.495999756E+02
 1.119742522E+03	 7.505999756E+02
 1.124168426E+03	 7.507999878E+02
 1.128592060E+03	 7.550999756E+02
 1.133013424E+03	 7.512000122E+02
 1.137432520E+03	 7.535000000E+02
 1.141849349E+03	 7.525999756E+02
 1.146263913E+03	 7.545999756E+02
 1.150676214E+03	 7.524000244E+02
 1.155086252E+03	 7.554000244E+02
 1.159494029E+03	 7.527999878E+02
 1.163899547E+03	 7.512000122E+02
 1.168302807E+03	 7.547000122E+02
 1.172703810E+03	 7.519000244E+02
 1.177102559E+03	 7.525999756E+02
 1.181499054E+03	 7.505000000E+02
 1.185893296E+03	 7.525000000E+02
 1.190285288E+03	 7.482999878E+02
 1.194675031E+03	 7.490000000E+02
 1.199062526E+03	 7.500999756E+02
 1.203447774E+03	 7.495000000E+02
 1.207830778E+03	 7.505000000E+02
 1.212211538E+03	 7.530999756E+02
 1.216590056E+03	 7.500999756E+02
 1.220966334E+03	 7.522000122E+02
 1.225340372E+03	 7.535999756E+02
 1.229712173E+03	 7.509000244E+02
 1.234081738E+03	 7.497999878E+02
 1.238449069E+03	 7.514000244E+02
 1.242814166E+03	 7.490999756E+02
 1.247177031E+03	 7.495000000E+02
 1.251537666E+03	 7.502999878E+02
 1.255896072E+03	 7.477000122E+02
 1.260252251E+03	 7.475000000E+02
 1.264606204E+03	 7.487999878E+02
 1.268957932E+03	 7.480999756E+02
 1.273307438E+03	 7.467000122E+02
 1.277654722E+03	 7.465999756E+02
 1.281999787E+03	 7.504000244E+02
 1.286342633E+03	 7.442999878E+02
 1.290683261E+03	 7.474000244E+02
 1.295021675E+03	 7.450000000E+02
 1.299357874E+03	 7.482000122E+02
 1.303691861E+03	 7.465999756E+02
 1.308023636E+03	 7.455999756E+02
 1.312353202E+03	 7.460999756E+02
 1.316680560E+03	 7.470000000E+02
 1.321005711E+03	 7.489000244E+02
 1.325328657E+03	 7.455999756E+02
 1.329649400E+03	 7.452000122E+02
 1.333967940E+03	 7.479000244E+02
 1.338284279E+03	 7.485999756E+02
 1.342598420E+03	 7.494000244E+02
 1.346910362E+03	 7.447000122E+02
 1.351220109E+03	 7.477999878E+02
 1.355527660E+03	 7.460000000E+02
 1.359833018E+03	 7.465999756E+02
 1.364136185E+03	 7.487999878E+02
 1.368437161E+03	 7.494000244E+02
 1.372735949E+03	 7.467000122E+02
 1.377032549E+03	 7.460000000E+02
 1.381326964E+03	 7.490999756E+02
 1.385619194E+03	 7.457999878E+02
 1.389909241E+03	 7.442000122E+02
 1.394197107E+03	 7.479000244E+02
 1.398482793E+03	 7.474000244E+02
 1.402766301E+03	 7.457999878E+02
 1.407047632E+03	 7.470000000E+02
 1.411326788E+03	 7.452999878E+02
 1.415603770E+03	 7.465000000E+02
 1.419878580E+03	 7.484000244E+02
 1.424151219E+03	 7.462000122E+02
 1.428421688E+03	 7.480000000E+02
 1.432689990E+03	 7.454000244E+02
 1.436956126E+03	 7.484000244E+02
 1.441220096E+03	 7.474000244E+02
 1.445481903E+03	 7.457999878E+02
 1.449741549E+03	 7.477999878E+02
 1.453999034E+03	 7.477999878E+02
 1.458254360E+03	 7.490000000E+02
 1.462507529E+03	 7.489000244E+02
 1.466758543E+03	 7.495999756E+02
 1.471007402E+03	 7.494000244E+02
 1.475254108E+03	 7.487999878E+02
 1.479498663E+03	 7.477000122E+02
 1.483741068E+03	 7.460000000E+02
 1.487981325E+03	 7.487999878E+02
 1.492219435E+03	 7.474000244E+02
 1.496455400E+03	 7.475999756E+02
 1.500689221E+03	 7.490000000E+02
 1.504920900E+03	 7.467999878E+02
 1.509150438E+03	 7.505000000E+02
 1.513377836E+03	 7.490999756E+02
 1.517603098E+03	 7.477999878E+02
 1.521826222E+03	 7.495000000E+02
 1.526047213E+03	 7.480999756E+02
 1.530266070E+03	 7.460000000E+02
 1.534482795E+03	 7.460999756E+02
 1.538697390E+03	 7.482000122E+02
 1.542909856E+03	 7.475999756E+02
 1.547120196E+03	 7.470000000E+02
 1.551328409E+03	 7.482999878E+02
 1.555534499E+03	 7.465000000E+02
 1.559738465E+03	 7.482000122E+02
 1.563940311E+03	 7.474000244E+02
 1.568140037E+03	 7.460999756E+02
 1.572337645E+03	 7.467999878E+02
 1.576533136E+03	 7.432000122E+02
 1.580726512E+03	 7.454000244E+02
 1.584917774E+03	 7.475000000E+02
 1.589106925E+03	 7.467000122E+02
 1.593293965E+03	 7.452999878E+02
 1.597478896E+03	 7.457000122E+02
 1.601661719E+03	 7.465999756E+02
 1.605842436E+03	 7.449000244E+02
 1.610021048E+03	 7.464000244E+02
 1.614197558E+03	 7.445000000E+02
 1.618371966E+03	 7.454000244E+02
 1.622544274E+03	 7.445999756E+02
 1.626714484E+03	 7.464000244E+02
 1.630882596E+03	 7.447999878E+02
 1.635048613E+03	 7.450999756E+02
 1.639212536E+03	 7.457000122E+02
 1.643374367E+03	 7.437999878E+02
 1.647534106E+03	 7.429000244E+02
 1.651691756E+03	 7.444000244E+02
 1.655847318E+03	 7.440999756E+02
 1.660000794E+03	 7.445999756E+02
 1.664152185E+03	 7.470999756E+02
 1.668301492E+03	 7.430000000E+02
 1.672448717E+03	 7.420000000E+02
 1.676593862E+03	 7.449000244E+02
 1.680736928E+03	 7.455000000E+02
 1.684877916E+03	 7.427000122E+02
 1.689016829E+03	 7.437000122E+02
 1.693153667E+03	 7.434000244E+02
 1.697288433E+03	 7.422999878E+02
 1.701421127E+03	 7.444000244E+02
 1.705551751E+03	 7.424000244E+02
 1.709680306E+03	 7.447999878E+02
 1.713806795E+03	 7.440999756E+02
 1.717931218E+03	 7.439000244E+02
 1.722053578E+03	 7.432000122E+02
 1.726173875E+03	 7.457000122E+02
 1.730292111E+03	 7.462000122E+02
 1.734408288E+03	 7.437999878E+02
 1.738522407E+03	 7.455999756E+02
 1.742634469E+03	 7.430999756E+02
 1.746744477E+03	 7.445999756E+02
 1.750852431E+03	 7.430999756E+02
 1.754958334E+03	 7.425000000E+02
 1.759062186E+03	 7.420000000E+02
 1.763163989E+03	 7.449000244E+02
 1.767263745E+03	 7.425000000E+02
 1.771361455E+03	 7.425000000E+02
 1.775457121E+03	 7.422999878E+02
 1.779550743E+03	 7.430000000E+02
 1.783642325E+03	 7.425000000E+02
 1.787731866E+03	 7.414000244E+02
 1.791819369E+03	 7.437999878E+02
 1.795904835E+03	 7.449000244E+02
 1.799988266E+03	 7.424000244E+02
 1.804069663E+03	 7.434000244E+02
 1.808149027E+03	 7.439000244E+02
 1.812226361E+03	 7.425000000E+02
 1.816301665E+03	 7.412999878E+02
 1.820374941E+03	 7.427999878E+02
 1.824446190E+03	 7.419000244E+02
 1.828515415E+03	 7.427999878E+02
 1.832582616E+03	 7.400999756E+02
 1.836647796E+03	 7.417000122E+02
 1.840710954E+03	 7.415000000E+02
 1.844772094E+03	 7.414000244E+02
 1.848831216E+03	 7.437999878E+02
 1.852888323E+03	 7.412999878E+02
 1.856943414E+03	 7.430999756E+02
 1.860996493E+03	 7.410000000E+02
 1.865047560E+03	 7.420999756E+02
 1.869096617E+03	 7.417999878E+02
 1.873143665E+03	 7.395999756E+02
 1.877188707E+03	 7.392000122E+02
 1.881231742E+03	 7.430000000E+02
 1.885272774E+03	 7.430000000E+02
 1.889311803E+03	 7.419000244E+02
 1.893348830E+03	 7.400999756E+02
 1.897383858E+03	 7.400000000E+02
 1.901416888E+03	 7.397000122E+02
 1.905447921E+03	 7.422000122E+02
 1.909476959E+03	 7.390999756E+02
 1.913504003E+03	 7.434000244E+02
 1.917529054E+03	 7.432999878E+02
 1.921552115E+03	 7.407999878E+02
 1.925573187E+03	 7.415000000E+02
 1.929592270E+03	 7.399000244E+02
 1.933609367E+03	 7.415000000E+02
 1.937624479E+03	 7.434000244E+02
 1.941637608E+03	 7.397000122E+02
 1.945648755E+03	 7.394000244E+02
 1.949657921E+03	 7.410999756E+02
 1.953665108E+03	 7.432000122E+02
 1.957670317E+03	 7.420000000E+02
 1.961673551E+03	 7.427000122E+02
 1.965674810E+03	 7.430000000E+02
 1.969674095E+03	 7.420999756E+02
 1.973671409E+03	 7.402999878E+02
 1.977666753E+03	 7.410000000E+02
 1.981660127E+03	 7.410000000E+02
 1.985651535E+03	 7.442000122E+02
 1.989640976E+03	 7.427999878E+02
 1.993628453E+03	 7.427999878E+02
 1.997613968E+03	 7.407000122E+02
 2.001597520E+03	 7.435000000E+02
 2.005579113E+03	 7.405000000E+02
 2.009558747E+03	 7.424000244E+02
 2.013536424E+03	 7.409000244E+02
 2.017512146E+03	 7.422000122E+02
 2.021485913E+03	 7.415999756E+02
 2.025457727E+03	 7.419000244E+02
 2.029427590E+03	 7.424000244E+02
 2.033395504E+03	 7.430000000E+02
 2.037361469E+03	 7.419000244E+02
 2.041325487E+03	 7.430000000E+02
 2.045287559E+03	 7.422999878E+02
 2.049247687E+03	 7.407999878E+02
 2.053205873E+03	 7.407000122E+02
 2.057162118E+03	 7.407999878E+02
 2.061116423E+03	 7.419000244E+02
 2.065068790E+03	 7.382000122E+02
 2.069019220E+03	 7.412999878E+02
 2.072967714E+03	 7.385999756E+02
 2.076914275E+03	 7.412000122E+02
 2.080858903E+03	 7.415000000E+02
 2.084801600E+03	 7.410999756E+02
 2.088742368E+03	 7.424000244E+02
 2.092681207E+03	 7.400000000E+02
 2.096618120E+03	 7.400000000E+02
 2.100553107E+03	 7.404000244E+02
