rel. 1/cm,CCD cts
 1.189853691E+03, 6.420000000E+02
 1.190403945E+03, 6.415999756E+02
 1.190954142E+03, 6.407999878E+02
 1.191504282E+03, 6.382000122E+02
 1.192054365E+03, 6.425999756E+02
 1.192604391E+03, 6.412000122E+02
 1.193154359E+03, 6.410000000E+02
 1.193704271E+03, 6.392000122E+02
 1.194254125E+03, 6.422000122E+02
 1.194803922E+03, 6.412000122E+02
 1.195353663E+03, 6.415999756E+02
 1.195903346E+03, 6.430000000E+02
 1.196452972E+03, 6.384000244E+02
 1.197002541E+03, 6.445999756E+02
 1.197552052E+03, 6.434000244E+02
 1.198101507E+03, 6.432000122E+02
 1.198650905E+03, 6.444000244E+02
 1.199200245E+03, 6.412000122E+02
 1.199749529E+03, 6.414000244E+02
 1.200298755E+03, 6.420000000E+02
 1.200847924E+03, 6.410000000E+02
 1.201397037E+03, 6.434000244E+02
 1.201946092E+03, 6.415999756E+02
 1.202495090E+03, 6.414000244E+02
 1.203044031E+03, 6.415999756E+02
 1.203592915E+03, 6.430000000E+02
 1.204141742E+03, 6.435999756E+02
 1.204690512E+03, 6.424000244E+02
 1.205239225E+03, 6.415999756E+02
 1.205787881E+03, 6.424000244E+02
 1.206336480E+03, 6.394000244E+02
 1.206885022E+03, 6.414000244E+02
 1.207433507E+03, 6.420000000E+02
 1.207981935E+03, 6.414000244E+02
 1.208530306E+03, 6.407999878E+02
 1.209078620E+03, 6.427999878E+02
 1.209626877E+03, 6.414000244E+02
 1.210175077E+03, 6.410000000E+02
 1.210723220E+03, 6.430000000E+02
 1.211271306E+03, 6.404000244E+02
 1.211819335E+03, 6.425999756E+02
 1.212367307E+03, 6.400000000E+02
 1.212915222E+03, 6.395999756E+02
 1.213463080E+03, 6.400000000E+02
 1.214010881E+03, 6.402000122E+02
 1.214558625E+03, 6.442000122E+02
 1.215106312E+03, 6.394000244E+02
 1.215653942E+03, 6.420000000E+02
 1.216201516E+03, 6.414000244E+02
 1.216749032E+03, 6.422000122E+02
 1.217296492E+03, 6.382000122E+02
 1.217843894E+03, 6.435999756E+02
 1.218391240E+03, 6.427999878E+02
 1.218938528E+03, 6.442000122E+02
 1.219485760E+03, 6.392000122E+02
 1.220032935E+03, 6.385999756E+02
 1.220580053E+03, 6.414000244E+02
 1.221127114E+03, 6.404000244E+02
 1.221674118E+03, 6.404000244E+02
 1.222221065E+03, 6.435999756E+02
 1.222767955E+03, 6.420000000E+02
 1.223314788E+03, 6.382000122E+02
 1.223861565E+03, 6.420000000E+02
 1.224408284E+03, 6.397999878E+02
 1.224954947E+03, 6.405999756E+02
 1.225501553E+03, 6.402000122E+02
 1.226048102E+03, 6.407999878E+02
 1.226594594E+03, 6.407999878E+02
 1.227141029E+03, 6.430000000E+02
 1.227687408E+03, 6.420000000E+02
 1.228233729E+03, 6.402000122E+02
 1.228779994E+03, 6.404000244E+02
 1.229326202E+03, 6.435999756E+02
 1.229872353E+03, 6.404000244E+02
 1.230418447E+03, 6.417999878E+02
 1.230964484E+03, 6.420000000E+02
 1.231510465E+03, 6.414000244E+02
 1.232056389E+03, 6.404000244E+02
 1.232602255E+03, 6.402000122E+02
 1.233148066E+03, 6.465999756E+02
 1.233693819E+03, 6.424000244E+02
 1.234239515E+03, 6.397999878E+02
 1.234785155E+03, 6.422000122E+02
 1.235330738E+03, 6.415999756E+02
 1.235876264E+03, 6.400000000E+02
 1.236421733E+03, 6.410000000E+02
 1.236967145E+03, 6.422000122E+02
 1.237512501E+03, 6.392000122E+02
 1.238057800E+03, 6.422000122E+02
 1.238603042E+03, 6.430000000E+02
 1.239148227E+03, 6.414000244E+02
 1.239693356E+03, 6.445999756E+02
 1.240238428E+03, 6.410000000E+02
 1.240783443E+03, 6.427999878E+02
 1.241328401E+03, 6.414000244E+02
 1.241873303E+03, 6.392000122E+02
 1.242418147E+03, 6.410000000E+02
 1.242962935E+03, 6.442000122E+02
 1.243507667E+03, 6.430000000E+02
 1.244052341E+03, 6.414000244E+02
 1.244596959E+03, 6.397999878E+02
 1.245141520E+03, 6.405999756E+02
 1.245686025E+03, 6.424000244E+02
 1.246230473E+03, 6.442000122E+02
 1.246774864E+03, 6.392000122E+02
 1.247319198E+03, 6.427999878E+02
 1.247863475E+03, 6.397999878E+02
 1.248407696E+03, 6.387999878E+02
 1.248951860E+03, 6.417999878E+02
 1.249495968E+03, 6.407999878E+02
 1.250040019E+03, 6.404000244E+02
 1.250584013E+03, 6.442000122E+02
 1.251127950E+03, 6.424000244E+02
 1.251671831E+03, 6.422000122E+02
 1.252215655E+03, 6.434000244E+02
 1.252759423E+03, 6.425999756E+02
 1.253303133E+03, 6.434000244E+02
 1.253846787E+03, 6.462000122E+02
 1.254390385E+03, 6.425999756E+02
 1.254933926E+03, 6.412000122E+02
 1.255477410E+03, 6.414000244E+02
 1.256020837E+03, 6.450000000E+02
 1.256564208E+03, 6.442000122E+02
 1.257107523E+03, 6.444000244E+02
 1.257650780E+03, 6.407999878E+02
 1.258193981E+03, 6.450000000E+02
 1.258737126E+03, 6.434000244E+02
 1.259280213E+03, 6.502000122E+02
 1.259823244E+03, 6.644000244E+02
 1.260366219E+03, 6.522000122E+02
 1.260909137E+03, 6.435999756E+02
 1.261451998E+03, 6.425999756E+02
 1.261994803E+03, 6.430000000E+02
 1.262537551E+03, 6.435999756E+02
 1.263080243E+03, 6.415999756E+02
 1.263622878E+03, 6.390000000E+02
 1.264165456E+03, 6.414000244E+02
 1.264707978E+03, 6.435999756E+02
 1.265250443E+03, 6.435999756E+02
 1.265792852E+03, 6.427999878E+02
 1.266335204E+03, 6.410000000E+02
 1.266877499E+03, 6.410000000E+02
 1.267419738E+03, 6.380000000E+02
 1.267961921E+03, 6.397999878E+02
 1.268504047E+03, 6.407999878E+02
 1.269046116E+03, 6.435999756E+02
 1.269588129E+03, 6.400000000E+02
 1.270130085E+03, 6.422000122E+02
 1.270671985E+03, 6.397999878E+02
 1.271213828E+03, 6.430000000E+02
 1.271755615E+03, 6.405999756E+02
 1.272297345E+03, 6.410000000E+02
 1.272839019E+03, 6.420000000E+02
 1.273380636E+03, 6.437999878E+02
 1.273922197E+03, 6.415999756E+02
 1.274463701E+03, 6.445999756E+02
 1.275005149E+03, 6.454000244E+02
 1.275546540E+03, 6.395999756E+02
 1.276087875E+03, 6.432000122E+02
 1.276629153E+03, 6.400000000E+02
 1.277170375E+03, 6.427999878E+02
 1.277711540E+03, 6.400000000E+02
 1.278252649E+03, 6.442000122E+02
 1.278793701E+03, 6.545999756E+02
 1.279334697E+03, 6.940000000E+02
 1.279875636E+03, 9.257999878E+02
 1.280416519E+03, 8.742000122E+02
 1.280957346E+03, 6.792000122E+02
 1.281498116E+03, 6.515999756E+02
 1.282038829E+03, 6.447999878E+02
 1.282579486E+03, 6.465999756E+02
 1.283120087E+03, 6.404000244E+02
 1.283660632E+03, 6.414000244E+02
 1.284201119E+03, 6.402000122E+02
 1.284741551E+03, 6.420000000E+02
 1.285281926E+03, 6.410000000E+02
 1.285822245E+03, 6.440000000E+02
 1.286362507E+03, 6.414000244E+02
 1.286902713E+03, 6.405999756E+02
 1.287442862E+03, 6.427999878E+02
 1.287982955E+03, 6.387999878E+02
 1.288522992E+03, 6.407999878E+02
 1.289062972E+03, 6.397999878E+02
 1.289602896E+03, 6.442000122E+02
 1.290142763E+03, 6.414000244E+02
 1.290682574E+03, 6.435999756E+02
 1.291222329E+03, 6.410000000E+02
 1.291762027E+03, 6.437999878E+02
 1.292301669E+03, 6.404000244E+02
 1.292841255E+03, 6.414000244E+02
 1.293380784E+03, 6.427999878E+02
 1.293920257E+03, 6.415999756E+02
 1.294459674E+03, 6.422000122E+02
 1.294999034E+03, 6.425999756E+02
 1.295538338E+03, 6.427999878E+02
 1.296077586E+03, 6.412000122E+02
 1.296616777E+03, 6.440000000E+02
 1.297155912E+03, 6.412000122E+02
 1.297694990E+03, 6.395999756E+02
 1.298234013E+03, 6.422000122E+02
 1.298772979E+03, 6.415999756E+02
 1.299311888E+03, 6.387999878E+02
 1.299850741E+03, 6.420000000E+02
 1.300389539E+03, 6.412000122E+02
 1.300928279E+03, 6.430000000E+02
 1.301466964E+03, 6.430000000E+02
 1.302005592E+03, 6.407999878E+02
 1.302544164E+03, 6.464000244E+02
 1.303082679E+03, 6.427999878E+02
 1.303621139E+03, 6.405999756E+02
 1.304159542E+03, 6.407999878E+02
 1.304697889E+03, 6.392000122E+02
 1.305236179E+03, 6.382000122E+02
 1.305774413E+03, 6.400000000E+02
 1.306312591E+03, 6.412000122E+02
 1.306850713E+03, 6.402000122E+02
 1.307388779E+03, 6.440000000E+02
 1.307926788E+03, 6.390000000E+02
 1.308464741E+03, 6.404000244E+02
 1.309002638E+03, 6.434000244E+02
 1.309540478E+03, 6.434000244E+02
 1.310078262E+03, 6.437999878E+02
 1.310615991E+03, 6.427999878E+02
 1.311153662E+03, 6.424000244E+02
 1.311691278E+03, 6.437999878E+02
 1.312228838E+03, 6.412000122E+02
 1.312766341E+03, 6.414000244E+02
 1.313303788E+03, 6.394000244E+02
 1.313841179E+03, 6.420000000E+02
 1.314378513E+03, 6.405999756E+02
 1.314915792E+03, 6.402000122E+02
 1.315453014E+03, 6.412000122E+02
 1.315990180E+03, 6.430000000E+02
 1.316527290E+03, 6.434000244E+02
 1.317064344E+03, 6.414000244E+02
 1.317601341E+03, 6.385999756E+02
 1.318138283E+03, 6.417999878E+02
 1.318675168E+03, 6.430000000E+02
 1.319211997E+03, 6.410000000E+02
 1.319748770E+03, 6.417999878E+02
 1.320285487E+03, 6.405999756E+02
 1.320822148E+03, 6.435999756E+02
 1.321358752E+03, 6.395999756E+02
 1.321895300E+03, 6.407999878E+02
 1.322431793E+03, 6.427999878E+02
 1.322968229E+03, 6.387999878E+02
 1.323504609E+03, 6.404000244E+02
 1.324040933E+03, 6.432000122E+02
 1.324577200E+03, 6.420000000E+02
 1.325113412E+03, 6.410000000E+02
 1.325649568E+03, 6.445999756E+02
 1.326185667E+03, 6.405999756E+02
 1.326721710E+03, 6.420000000E+02
 1.327257698E+03, 6.404000244E+02
 1.327793629E+03, 6.422000122E+02
 1.328329504E+03, 6.420000000E+02
 1.328865323E+03, 6.417999878E+02
 1.329401086E+03, 6.410000000E+02
 1.329936793E+03, 6.397999878E+02
 1.330472443E+03, 6.402000122E+02
 1.331008038E+03, 6.422000122E+02
 1.331543577E+03, 6.387999878E+02
 1.332079059E+03, 6.435999756E+02
 1.332614486E+03, 6.400000000E+02
 1.333149856E+03, 6.387999878E+02
 1.333685171E+03, 6.384000244E+02
 1.334220429E+03, 6.447999878E+02
 1.334755631E+03, 6.400000000E+02
 1.335290778E+03, 6.404000244E+02
 1.335825868E+03, 6.422000122E+02
 1.336360902E+03, 6.417999878E+02
 1.336895880E+03, 6.390000000E+02
 1.337430803E+03, 6.440000000E+02
 1.337965669E+03, 6.415999756E+02
 1.338500479E+03, 6.427999878E+02
 1.339035233E+03, 6.444000244E+02
 1.339569931E+03, 6.412000122E+02
 1.340104574E+03, 6.422000122E+02
 1.340639160E+03, 6.405999756E+02
 1.341173690E+03, 6.412000122E+02
 1.341708164E+03, 6.430000000E+02
 1.342242583E+03, 6.410000000E+02
 1.342776945E+03, 6.427999878E+02
 1.343311251E+03, 6.427999878E+02
 1.343845501E+03, 6.414000244E+02
 1.344379696E+03, 6.440000000E+02
 1.344913834E+03, 6.424000244E+02
 1.345447917E+03, 6.422000122E+02
 1.345981943E+03, 6.452000122E+02
 1.346515914E+03, 6.427999878E+02
 1.347049828E+03, 6.444000244E+02
 1.347583687E+03, 6.442000122E+02
 1.348117490E+03, 6.400000000E+02
 1.348651237E+03, 6.420000000E+02
 1.349184928E+03, 6.412000122E+02
 1.349718563E+03, 6.457999878E+02
 1.350252142E+03, 6.392000122E+02
 1.350785665E+03, 6.407999878E+02
 1.351319132E+03, 6.454000244E+02
 1.351852543E+03, 6.415999756E+02
 1.352385899E+03, 6.412000122E+02
 1.352919198E+03, 6.442000122E+02
 1.353452442E+03, 6.410000000E+02
 1.353985630E+03, 6.395999756E+02
 1.354518762E+03, 6.457999878E+02
 1.355051838E+03, 6.444000244E+02
 1.355584858E+03, 6.397999878E+02
 1.356117822E+03, 6.444000244E+02
 1.356650730E+03, 6.432000122E+02
 1.357183583E+03, 6.422000122E+02
 1.357716379E+03, 6.434000244E+02
 1.358249120E+03, 6.412000122E+02
 1.358781805E+03, 6.437999878E+02
 1.359314434E+03, 6.407999878E+02
 1.359847008E+03, 6.437999878E+02
 1.360379525E+03, 6.415999756E+02
 1.360911987E+03, 6.445999756E+02
 1.361444392E+03, 6.412000122E+02
 1.361976742E+03, 6.425999756E+02
 1.362509036E+03, 6.427999878E+02
 1.363041275E+03, 6.405999756E+02
 1.363573457E+03, 6.420000000E+02
 1.364105584E+03, 6.487999878E+02
 1.364637654E+03, 6.517999878E+02
 1.365169670E+03, 6.422000122E+02
 1.365701629E+03, 6.442000122E+02
 1.366233532E+03, 6.434000244E+02
 1.366765380E+03, 6.412000122E+02
 1.367297172E+03, 6.420000000E+02
