X-Axis	BL1_MI1_H2O_quant
 6.654472214E+02	 1.822400024E+03
 6.701070780E+02	 1.808500000E+03
 6.747645323E+02	 1.809300049E+03
 6.794195855E+02	 1.798500000E+03
 6.840722386E+02	 1.809300049E+03
 6.887224930E+02	 1.806400024E+03
 6.933703497E+02	 1.790000000E+03
 6.980158099E+02	 1.799400024E+03
 7.026588748E+02	 1.801300049E+03
 7.072995457E+02	 1.799699951E+03
 7.119378236E+02	 1.787500000E+03
 7.165737098E+02	 1.791099976E+03
 7.212072054E+02	 1.799500000E+03
 7.258383117E+02	 1.798900024E+03
 7.304670299E+02	 1.802199951E+03
 7.350933611E+02	 1.795599976E+03
 7.397173066E+02	 1.807800049E+03
 7.443388676E+02	 1.807900024E+03
 7.489580453E+02	 1.806300049E+03
 7.535748409E+02	 1.810599976E+03
 7.581892557E+02	 1.801599976E+03
 7.628012909E+02	 1.804300049E+03
 7.674109476E+02	 1.787099976E+03
 7.720182272E+02	 1.795500000E+03
 7.766231309E+02	 1.794900024E+03
 7.812256599E+02	 1.790000000E+03
 7.858258154E+02	 1.797199951E+03
 7.904235988E+02	 1.786400024E+03
 7.950190112E+02	 1.809000000E+03
 7.996120539E+02	 1.808400024E+03
 8.042027282E+02	 1.829800049E+03
 8.087910353E+02	 1.840900024E+03
 8.133769766E+02	 1.894400024E+03
 8.179605532E+02	 2.016599976E+03
 8.225417664E+02	 2.199500000E+03
 8.271206175E+02	 2.251600098E+03
 8.316971078E+02	 2.147100098E+03
 8.362712385E+02	 2.056300049E+03
 8.408430111E+02	 2.061199951E+03
 8.454124266E+02	 2.158100098E+03
 8.499794864E+02	 2.397100098E+03
 8.545441919E+02	 2.745000000E+03
 8.591065442E+02	 2.793699951E+03
 8.636665448E+02	 2.532899902E+03
 8.682241949E+02	 2.229800049E+03
 8.727794957E+02	 2.061000000E+03
 8.773324487E+02	 2.012000000E+03
 8.818830551E+02	 2.000099976E+03
 8.864313162E+02	 1.978900024E+03
 8.909772334E+02	 1.937800049E+03
 8.955208079E+02	 1.927300049E+03
 9.000620411E+02	 1.928300049E+03
 9.046009344E+02	 1.928400024E+03
 9.091374889E+02	 1.939599976E+03
 9.136717061E+02	 1.954800049E+03
 9.182035873E+02	 2.004400024E+03
 9.227331339E+02	 2.011000000E+03
 9.272603471E+02	 2.012300049E+03
 9.317852282E+02	 2.007500000E+03
 9.363077788E+02	 2.006699951E+03
 9.408280000E+02	 2.035599976E+03
 9.453458932E+02	 2.055000000E+03
 9.498614598E+02	 2.092500000E+03
 9.543747012E+02	 2.122500000E+03
 9.588856186E+02	 2.153399902E+03
 9.633942135E+02	 2.145600098E+03
 9.679004872E+02	 2.127500000E+03
 9.724044410E+02	 2.097899902E+03
 9.769060763E+02	 2.090699951E+03
 9.814053946E+02	 2.082199951E+03
 9.859023970E+02	 2.068399902E+03
 9.903970852E+02	 2.072899902E+03
 9.948894603E+02	 2.077600098E+03
 9.993795238E+02	 2.071100098E+03
 1.003867277E+03	 2.062699951E+03
 1.008352721E+03	 2.052699951E+03
 1.012835858E+03	 2.016099976E+03
 1.017316689E+03	 1.993199951E+03
 1.021795215E+03	 1.992599976E+03
 1.026271438E+03	 1.969199951E+03
 1.030745358E+03	 1.941300049E+03
 1.035216979E+03	 1.908500000E+03
 1.039686300E+03	 1.895599976E+03
 1.044153323E+03	 1.878300049E+03
 1.048618050E+03	 1.854500000E+03
 1.053080482E+03	 1.828599976E+03
 1.057540620E+03	 1.797300049E+03
 1.061998466E+03	 1.772000000E+03
 1.066454022E+03	 1.743300049E+03
 1.070907288E+03	 1.721199951E+03
 1.075358266E+03	 1.706000000E+03
 1.079806958E+03	 1.675599976E+03
 1.084253364E+03	 1.644000000E+03
 1.088697487E+03	 1.628199951E+03
 1.093139327E+03	 1.619800049E+03
 1.097578887E+03	 1.599800049E+03
 1.102016167E+03	 1.577199951E+03
 1.106451169E+03	 1.562099976E+03
 1.110883895E+03	 1.551900024E+03
 1.115314345E+03	 1.527800049E+03
 1.119742522E+03	 1.507900024E+03
 1.124168426E+03	 1.501000000E+03
 1.128592060E+03	 1.493900024E+03
 1.133013424E+03	 1.480699951E+03
 1.137432520E+03	 1.474599976E+03
 1.141849349E+03	 1.455400024E+03
 1.146263913E+03	 1.448000000E+03
 1.150676214E+03	 1.422800049E+03
 1.155086252E+03	 1.417900024E+03
 1.159494029E+03	 1.400599976E+03
 1.163899547E+03	 1.381599976E+03
 1.168302807E+03	 1.370500000E+03
 1.172703810E+03	 1.359199951E+03
 1.177102559E+03	 1.330400024E+03
 1.181499054E+03	 1.316199951E+03
 1.185893296E+03	 1.299199951E+03
 1.190285288E+03	 1.300199951E+03
 1.194675031E+03	 1.288300049E+03
 1.199062526E+03	 1.272300049E+03
 1.203447774E+03	 1.262599976E+03
 1.207830778E+03	 1.251500000E+03
 1.212211538E+03	 1.239199951E+03
 1.216590056E+03	 1.233300049E+03
 1.220966334E+03	 1.221300049E+03
 1.225340372E+03	 1.221300049E+03
 1.229712173E+03	 1.213599976E+03
 1.234081738E+03	 1.202099976E+03
 1.238449069E+03	 1.198599976E+03
 1.242814166E+03	 1.194599976E+03
 1.247177031E+03	 1.192500000E+03
 1.251537666E+03	 1.193500000E+03
 1.255896072E+03	 1.188500000E+03
 1.260252251E+03	 1.188599976E+03
 1.264606204E+03	 1.184800049E+03
 1.268957932E+03	 1.181400024E+03
 1.273307438E+03	 1.176800049E+03
 1.277654722E+03	 1.172400024E+03
 1.281999787E+03	 1.180599976E+03
 1.286342633E+03	 1.186199951E+03
 1.290683261E+03	 1.178599976E+03
 1.295021675E+03	 1.173199951E+03
 1.299357874E+03	 1.178400024E+03
 1.303691861E+03	 1.178900024E+03
 1.308023636E+03	 1.173199951E+03
 1.312353202E+03	 1.176699951E+03
 1.316680560E+03	 1.173400024E+03
 1.321005711E+03	 1.172400024E+03
 1.325328657E+03	 1.172000000E+03
 1.329649400E+03	 1.171599976E+03
 1.333967940E+03	 1.180500000E+03
 1.338284279E+03	 1.172000000E+03
 1.342598420E+03	 1.169300049E+03
 1.346910362E+03	 1.169300049E+03
 1.351220109E+03	 1.172199951E+03
 1.355527660E+03	 1.169500000E+03
 1.359833018E+03	 1.168000000E+03
 1.364136185E+03	 1.171500000E+03
 1.368437161E+03	 1.158800049E+03
 1.372735949E+03	 1.169699951E+03
 1.377032549E+03	 1.160000000E+03
 1.381326964E+03	 1.167000000E+03
 1.385619194E+03	 1.168800049E+03
 1.389909241E+03	 1.166099976E+03
 1.394197107E+03	 1.165800049E+03
 1.398482793E+03	 1.174900024E+03
 1.402766301E+03	 1.171400024E+03
 1.407047632E+03	 1.175699951E+03
 1.411326788E+03	 1.172599976E+03
 1.415603770E+03	 1.171800049E+03
 1.419878580E+03	 1.175199951E+03
 1.424151219E+03	 1.179099976E+03
 1.428421688E+03	 1.178000000E+03
 1.432689990E+03	 1.178000000E+03
 1.436956126E+03	 1.189400024E+03
 1.441220096E+03	 1.190099976E+03
 1.445481903E+03	 1.176800049E+03
 1.449741549E+03	 1.181400024E+03
 1.453999034E+03	 1.189500000E+03
 1.458254360E+03	 1.178199951E+03
 1.462507529E+03	 1.187199951E+03
 1.466758543E+03	 1.184099976E+03
 1.471007402E+03	 1.178199951E+03
 1.475254108E+03	 1.181599976E+03
 1.479498663E+03	 1.175599976E+03
 1.483741068E+03	 1.176500000E+03
 1.487981325E+03	 1.177400024E+03
 1.492219435E+03	 1.179000000E+03
 1.496455400E+03	 1.186599976E+03
 1.500689221E+03	 1.182199951E+03
 1.504920900E+03	 1.174699951E+03
 1.509150438E+03	 1.173400024E+03
 1.513377836E+03	 1.166699951E+03
 1.517603098E+03	 1.176300049E+03
 1.521826222E+03	 1.172099976E+03
 1.526047213E+03	 1.168699951E+03
 1.530266070E+03	 1.173000000E+03
 1.534482795E+03	 1.172800049E+03
 1.538697390E+03	 1.162500000E+03
 1.542909856E+03	 1.176300049E+03
 1.547120196E+03	 1.174099976E+03
 1.551328409E+03	 1.159199951E+03
 1.555534499E+03	 1.163500000E+03
 1.559738465E+03	 1.164099976E+03
 1.563940311E+03	 1.166500000E+03
 1.568140037E+03	 1.160099976E+03
 1.572337645E+03	 1.163300049E+03
 1.576533136E+03	 1.164900024E+03
 1.580726512E+03	 1.165099976E+03
 1.584917774E+03	 1.164500000E+03
 1.589106925E+03	 1.166599976E+03
 1.593293965E+03	 1.172800049E+03
 1.597478896E+03	 1.166699951E+03
 1.601661719E+03	 1.178699951E+03
 1.605842436E+03	 1.168300049E+03
 1.610021048E+03	 1.169400024E+03
 1.614197558E+03	 1.169300049E+03
 1.618371966E+03	 1.174699951E+03
 1.622544274E+03	 1.177000000E+03
 1.626714484E+03	 1.164500000E+03
 1.630882596E+03	 1.159199951E+03
 1.635048613E+03	 1.170599976E+03
 1.639212536E+03	 1.161300049E+03
 1.643374367E+03	 1.166900024E+03
 1.647534106E+03	 1.156400024E+03
 1.651691756E+03	 1.159800049E+03
 1.655847318E+03	 1.160199951E+03
 1.660000794E+03	 1.159800049E+03
 1.664152185E+03	 1.153400024E+03
 1.668301492E+03	 1.159199951E+03
 1.672448717E+03	 1.157199951E+03
 1.676593862E+03	 1.159400024E+03
 1.680736928E+03	 1.150000000E+03
 1.684877916E+03	 1.160400024E+03
 1.689016829E+03	 1.157000000E+03
 1.693153667E+03	 1.153800049E+03
 1.697288433E+03	 1.150800049E+03
 1.701421127E+03	 1.148900024E+03
 1.705551751E+03	 1.158300049E+03
 1.709680306E+03	 1.150699951E+03
 1.713806795E+03	 1.152000000E+03
 1.717931218E+03	 1.144900024E+03
 1.722053578E+03	 1.154099976E+03
 1.726173875E+03	 1.155400024E+03
 1.730292111E+03	 1.155800049E+03
 1.734408288E+03	 1.145699951E+03
 1.738522407E+03	 1.154699951E+03
 1.742634469E+03	 1.147300049E+03
 1.746744477E+03	 1.147199951E+03
 1.750852431E+03	 1.151199951E+03
 1.754958334E+03	 1.151599976E+03
 1.759062186E+03	 1.148199951E+03
 1.763163989E+03	 1.141699951E+03
 1.767263745E+03	 1.150300049E+03
 1.771361455E+03	 1.145800049E+03
 1.775457121E+03	 1.147900024E+03
 1.779550743E+03	 1.145800049E+03
 1.783642325E+03	 1.131800049E+03
 1.787731866E+03	 1.145500000E+03
 1.791819369E+03	 1.143300049E+03
 1.795904835E+03	 1.141099976E+03
 1.799988266E+03	 1.140199951E+03
 1.804069663E+03	 1.143900024E+03
 1.808149027E+03	 1.137000000E+03
 1.812226361E+03	 1.131500000E+03
 1.816301665E+03	 1.141599976E+03
 1.820374941E+03	 1.141099976E+03
 1.824446190E+03	 1.139099976E+03
 1.828515415E+03	 1.141699951E+03
 1.832582616E+03	 1.139400024E+03
 1.836647796E+03	 1.142300049E+03
 1.840710954E+03	 1.131900024E+03
 1.844772094E+03	 1.137300049E+03
 1.848831216E+03	 1.141199951E+03
 1.852888323E+03	 1.130099976E+03
 1.856943414E+03	 1.133599976E+03
 1.860996493E+03	 1.131599976E+03
 1.865047560E+03	 1.125400024E+03
 1.869096617E+03	 1.131199951E+03
 1.873143665E+03	 1.135400024E+03
 1.877188707E+03	 1.132400024E+03
 1.881231742E+03	 1.135699951E+03
 1.885272774E+03	 1.136900024E+03
 1.889311803E+03	 1.135699951E+03
 1.893348830E+03	 1.132400024E+03
 1.897383858E+03	 1.135300049E+03
 1.901416888E+03	 1.134300049E+03
 1.905447921E+03	 1.134199951E+03
 1.909476959E+03	 1.133400024E+03
 1.913504003E+03	 1.132199951E+03
 1.917529054E+03	 1.133000000E+03
 1.921552115E+03	 1.128900024E+03
 1.925573187E+03	 1.134900024E+03
 1.929592270E+03	 1.130500000E+03
 1.933609367E+03	 1.130400024E+03
 1.937624479E+03	 1.129699951E+03
 1.941637608E+03	 1.126400024E+03
 1.945648755E+03	 1.131400024E+03
 1.949657921E+03	 1.129900024E+03
 1.953665108E+03	 1.128900024E+03
 1.957670317E+03	 1.132099976E+03
 1.961673551E+03	 1.131099976E+03
 1.965674810E+03	 1.138900024E+03
 1.969674095E+03	 1.132199951E+03
 1.973671409E+03	 1.133400024E+03
 1.977666753E+03	 1.130199951E+03
 1.981660127E+03	 1.134099976E+03
 1.985651535E+03	 1.139699951E+03
 1.989640976E+03	 1.135099976E+03
 1.993628453E+03	 1.136000000E+03
 1.997613968E+03	 1.133699951E+03
 2.001597520E+03	 1.141900024E+03
 2.005579113E+03	 1.139500000E+03
 2.009558747E+03	 1.137699951E+03
 2.013536424E+03	 1.143900024E+03
 2.017512146E+03	 1.144300049E+03
 2.021485913E+03	 1.139300049E+03
 2.025457727E+03	 1.132800049E+03
 2.029427590E+03	 1.138199951E+03
 2.033395504E+03	 1.138099976E+03
 2.037361469E+03	 1.141099976E+03
 2.041325487E+03	 1.135300049E+03
 2.045287559E+03	 1.135800049E+03
 2.049247687E+03	 1.130300049E+03
 2.053205873E+03	 1.130199951E+03
 2.057162118E+03	 1.130099976E+03
 2.061116423E+03	 1.127800049E+03
 2.065068790E+03	 1.135300049E+03
 2.069019220E+03	 1.124900024E+03
 2.072967714E+03	 1.128400024E+03
 2.076914275E+03	 1.132300049E+03
 2.080858903E+03	 1.125699951E+03
 2.084801600E+03	 1.128199951E+03
 2.088742368E+03	 1.132199951E+03
 2.092681207E+03	 1.131099976E+03
 2.096618120E+03	 1.128500000E+03
 2.100553107E+03	 1.136599976E+03
 2.104486171E+03	 1.130199951E+03
 2.108417312E+03	 1.126599976E+03
 2.112346532E+03	 1.126099976E+03
 2.116273832E+03	 1.127800049E+03
 2.120199215E+03	 1.132099976E+03
 2.124122681E+03	 1.129000000E+03
 2.128044231E+03	 1.126199951E+03
 2.131963868E+03	 1.129900024E+03
 2.135881592E+03	 1.124800049E+03
 2.139797405E+03	 1.121599976E+03
 2.143711309E+03	 1.121800049E+03
 2.147623305E+03	 1.123599976E+03
 2.151533393E+03	 1.120599976E+03
 2.155441577E+03	 1.126599976E+03
 2.159347857E+03	 1.125500000E+03
 2.163252234E+03	 1.121099976E+03
 2.167154710E+03	 1.126500000E+03
 2.171055287E+03	 1.117099976E+03
 2.174953965E+03	 1.114199951E+03
 2.178850747E+03	 1.118199951E+03
 2.182745633E+03	 1.129099976E+03
 2.186638626E+03	 1.118000000E+03
 2.190529726E+03	 1.122900024E+03
 2.194418934E+03	 1.116500000E+03
 2.198306253E+03	 1.111300049E+03
 2.202191684E+03	 1.118500000E+03
 2.206075228E+03	 1.118900024E+03
 2.209956886E+03	 1.118699951E+03
 2.213836660E+03	 1.117000000E+03
 2.217714552E+03	 1.114699951E+03
 2.221590562E+03	 1.114500000E+03
 2.225464692E+03	 1.122199951E+03
 2.229336944E+03	 1.119300049E+03
 2.233207319E+03	 1.108000000E+03
 2.237075818E+03	 1.114099976E+03
 2.240942443E+03	 1.118099976E+03
 2.244807195E+03	 1.114099976E+03
 2.248670076E+03	 1.111800049E+03
 2.252531086E+03	 1.116400024E+03
 2.256390228E+03	 1.117000000E+03
 2.260247502E+03	 1.117000000E+03
 2.264102911E+03	 1.107500000E+03
 2.267956455E+03	 1.110300049E+03
 2.271808136E+03	 1.112500000E+03
 2.275657955E+03	 1.113900024E+03
 2.279505914E+03	 1.106400024E+03
 2.283352013E+03	 1.111300049E+03
 2.287196256E+03	 1.109000000E+03
 2.291038642E+03	 1.110199951E+03
 2.294879173E+03	 1.106900024E+03
 2.298717851E+03	 1.115099976E+03
 2.302554676E+03	 1.104300049E+03
 2.306389651E+03	 1.114199951E+03
 2.310222777E+03	 1.116300049E+03
 2.314054054E+03	 1.107900024E+03
 2.317883486E+03	 1.112800049E+03
 2.321711072E+03	 1.110199951E+03
