X-Axis	CC7_MI3_H2O
 1.079806958E+03	 1.542000000E+03
 1.084253364E+03	 1.519800049E+03
 1.088697487E+03	 1.488300049E+03
 1.093139327E+03	 1.471199951E+03
 1.097578887E+03	 1.468300049E+03
 1.102016167E+03	 1.445500000E+03
 1.106451169E+03	 1.410099976E+03
 1.110883895E+03	 1.410300049E+03
 1.115314345E+03	 1.394900024E+03
 1.119742522E+03	 1.378699951E+03
 1.124168426E+03	 1.361400024E+03
 1.128592060E+03	 1.341599976E+03
 1.133013424E+03	 1.325199951E+03
 1.137432520E+03	 1.324800049E+03
 1.141849349E+03	 1.314000000E+03
 1.146263913E+03	 1.298000000E+03
 1.150676214E+03	 1.287199951E+03
 1.155086252E+03	 1.276400024E+03
 1.159494029E+03	 1.251900024E+03
 1.163899547E+03	 1.247599976E+03
 1.168302807E+03	 1.232900024E+03
 1.172703810E+03	 1.223400024E+03
 1.177102559E+03	 1.218599976E+03
 1.181499054E+03	 1.211500000E+03
 1.185893296E+03	 1.190300049E+03
 1.190285288E+03	 1.187699951E+03
 1.194675031E+03	 1.177900024E+03
 1.199062526E+03	 1.176099976E+03
 1.203447774E+03	 1.163400024E+03
 1.207830778E+03	 1.153599976E+03
 1.212211538E+03	 1.142900024E+03
 1.216590056E+03	 1.135800049E+03
 1.220966334E+03	 1.139099976E+03
 1.225340372E+03	 1.126500000E+03
 1.229712173E+03	 1.131400024E+03
 1.234081738E+03	 1.122099976E+03
 1.238449069E+03	 1.121900024E+03
 1.242814166E+03	 1.112599976E+03
 1.247177031E+03	 1.114199951E+03
 1.251537666E+03	 1.111500000E+03
 1.255896072E+03	 1.112099976E+03
 1.260252251E+03	 1.109000000E+03
 1.264606204E+03	 1.104900024E+03
 1.268957932E+03	 1.103900024E+03
 1.273307438E+03	 1.105500000E+03
 1.277654722E+03	 1.105699951E+03
 1.281999787E+03	 1.104000000E+03
 1.286342633E+03	 1.102800049E+03
 1.290683261E+03	 1.102400024E+03
 1.295021675E+03	 1.099500000E+03
 1.299357874E+03	 1.097500000E+03
 1.303691861E+03	 1.100000000E+03
 1.308023636E+03	 1.105699951E+03
 1.312353202E+03	 1.099199951E+03
 1.316680560E+03	 1.102400024E+03
 1.321005711E+03	 1.090900024E+03
 1.325328657E+03	 1.096599976E+03
 1.329649400E+03	 1.098000000E+03
 1.333967940E+03	 1.097199951E+03
 1.338284279E+03	 1.102300049E+03
 1.342598420E+03	 1.099699951E+03
 1.346910362E+03	 1.085000000E+03
 1.351220109E+03	 1.098000000E+03
 1.355527660E+03	 1.095699951E+03
 1.359833018E+03	 1.094900024E+03
 1.364136185E+03	 1.090199951E+03
 1.368437161E+03	 1.096000000E+03
 1.372735949E+03	 1.091400024E+03
 1.377032549E+03	 1.094400024E+03
 1.381326964E+03	 1.093099976E+03
 1.385619194E+03	 1.094400024E+03
 1.389909241E+03	 1.091599976E+03
 1.394197107E+03	 1.094300049E+03
 1.398482793E+03	 1.092300049E+03
 1.402766301E+03	 1.101599976E+03
 1.407047632E+03	 1.094099976E+03
 1.411326788E+03	 1.102599976E+03
 1.415603770E+03	 1.093699951E+03
 1.419878580E+03	 1.095199951E+03
 1.424151219E+03	 1.093900024E+03
 1.428421688E+03	 1.098199951E+03
 1.432689990E+03	 1.103099976E+03
 1.436956126E+03	 1.101900024E+03
 1.441220096E+03	 1.100400024E+03
 1.445481903E+03	 1.103000000E+03
 1.449741549E+03	 1.102599976E+03
 1.453999034E+03	 1.106199951E+03
 1.458254360E+03	 1.103099976E+03
 1.462507529E+03	 1.099800049E+03
 1.466758543E+03	 1.103199951E+03
 1.471007402E+03	 1.099300049E+03
 1.475254108E+03	 1.099199951E+03
 1.479498663E+03	 1.099500000E+03
 1.483741068E+03	 1.101900024E+03
 1.487981325E+03	 1.097800049E+03
 1.492219435E+03	 1.100599976E+03
 1.496455400E+03	 1.095900024E+03
 1.500689221E+03	 1.099699951E+03
 1.504920900E+03	 1.099800049E+03
 1.509150438E+03	 1.094400024E+03
 1.513377836E+03	 1.095199951E+03
 1.517603098E+03	 1.103000000E+03
 1.521826222E+03	 1.098599976E+03
 1.526047213E+03	 1.094300049E+03
 1.530266070E+03	 1.091199951E+03
 1.534482795E+03	 1.102900024E+03
 1.538697390E+03	 1.091800049E+03
 1.542909856E+03	 1.088800049E+03
 1.547120196E+03	 1.088599976E+03
 1.551328409E+03	 1.093400024E+03
 1.555534499E+03	 1.086800049E+03
 1.559738465E+03	 1.088699951E+03
 1.563940311E+03	 1.088599976E+03
 1.568140037E+03	 1.095800049E+03
 1.572337645E+03	 1.084199951E+03
 1.576533136E+03	 1.089500000E+03
 1.580726512E+03	 1.082599976E+03
 1.584917774E+03	 1.090500000E+03
 1.589106925E+03	 1.091500000E+03
 1.593293965E+03	 1.088599976E+03
 1.597478896E+03	 1.089699951E+03
 1.601661719E+03	 1.087699951E+03
 1.605842436E+03	 1.096300049E+03
 1.610021048E+03	 1.085800049E+03
 1.614197558E+03	 1.087699951E+03
 1.618371966E+03	 1.087500000E+03
 1.622544274E+03	 1.090800049E+03
 1.626714484E+03	 1.091900024E+03
 1.630882596E+03	 1.091500000E+03
 1.635048613E+03	 1.090800049E+03
 1.639212536E+03	 1.082400024E+03
 1.643374367E+03	 1.077699951E+03
 1.647534106E+03	 1.083900024E+03
 1.651691756E+03	 1.079099976E+03
 1.655847318E+03	 1.089300049E+03
 1.660000794E+03	 1.077699951E+03
 1.664152185E+03	 1.073199951E+03
 1.668301492E+03	 1.071800049E+03
 1.672448717E+03	 1.078099976E+03
 1.676593862E+03	 1.074000000E+03
 1.680736928E+03	 1.077099976E+03
 1.684877916E+03	 1.083599976E+03
 1.689016829E+03	 1.073599976E+03
 1.693153667E+03	 1.070800049E+03
 1.697288433E+03	 1.071800049E+03
 1.701421127E+03	 1.071699951E+03
 1.705551751E+03	 1.078900024E+03
 1.709680306E+03	 1.070900024E+03
 1.713806795E+03	 1.069800049E+03
 1.717931218E+03	 1.081199951E+03
 1.722053578E+03	 1.074500000E+03
 1.726173875E+03	 1.074400024E+03
 1.730292111E+03	 1.072500000E+03
 1.734408288E+03	 1.073599976E+03
 1.738522407E+03	 1.069900024E+03
 1.742634469E+03	 1.072900024E+03
 1.746744477E+03	 1.066699951E+03
 1.750852431E+03	 1.071900024E+03
 1.754958334E+03	 1.065500000E+03
 1.759062186E+03	 1.066400024E+03
 1.763163989E+03	 1.065099976E+03
 1.767263745E+03	 1.059699951E+03
 1.771361455E+03	 1.066800049E+03
 1.775457121E+03	 1.068099976E+03
 1.779550743E+03	 1.060599976E+03
 1.783642325E+03	 1.062400024E+03
 1.787731866E+03	 1.065900024E+03
 1.791819369E+03	 1.062599976E+03
 1.795904835E+03	 1.065099976E+03
 1.799988266E+03	 1.066199951E+03
 1.804069663E+03	 1.060400024E+03
 1.808149027E+03	 1.059199951E+03
 1.812226361E+03	 1.066199951E+03
 1.816301665E+03	 1.060699951E+03
 1.820374941E+03	 1.062900024E+03
 1.824446190E+03	 1.067599976E+03
 1.828515415E+03	 1.057599976E+03
 1.832582616E+03	 1.061800049E+03
 1.836647796E+03	 1.062300049E+03
 1.840710954E+03	 1.060500000E+03
 1.844772094E+03	 1.061099976E+03
 1.848831216E+03	 1.054099976E+03
 1.852888323E+03	 1.066699951E+03
 1.856943414E+03	 1.055699951E+03
 1.860996493E+03	 1.052699951E+03
 1.865047560E+03	 1.052599976E+03
 1.869096617E+03	 1.060099976E+03
 1.873143665E+03	 1.055900024E+03
 1.877188707E+03	 1.055400024E+03
 1.881231742E+03	 1.047699951E+03
 1.885272774E+03	 1.059599976E+03
 1.889311803E+03	 1.057400024E+03
 1.893348830E+03	 1.053099976E+03
 1.897383858E+03	 1.057099976E+03
 1.901416888E+03	 1.056699951E+03
 1.905447921E+03	 1.054900024E+03
 1.909476959E+03	 1.057300049E+03
 1.913504003E+03	 1.057699951E+03
 1.917529054E+03	 1.052400024E+03
 1.921552115E+03	 1.048300049E+03
 1.925573187E+03	 1.056099976E+03
 1.929592270E+03	 1.061199951E+03
 1.933609367E+03	 1.047000000E+03
 1.937624479E+03	 1.053400024E+03
 1.941637608E+03	 1.055500000E+03
 1.945648755E+03	 1.052599976E+03
 1.949657921E+03	 1.061000000E+03
 1.953665108E+03	 1.056199951E+03
 1.957670317E+03	 1.047300049E+03
 1.961673551E+03	 1.051300049E+03
 1.965674810E+03	 1.054099976E+03
 1.969674095E+03	 1.062099976E+03
 1.973671409E+03	 1.053000000E+03
 1.977666753E+03	 1.056900024E+03
 1.981660127E+03	 1.052099976E+03
 1.985651535E+03	 1.052599976E+03
 1.989640976E+03	 1.060300049E+03
 1.993628453E+03	 1.059599976E+03
 1.997613968E+03	 1.055699951E+03
 2.001597520E+03	 1.054199951E+03
 2.005579113E+03	 1.056800049E+03
 2.009558747E+03	 1.058300049E+03
 2.013536424E+03	 1.054199951E+03
 2.017512146E+03	 1.061900024E+03
 2.021485913E+03	 1.055699951E+03
 2.025457727E+03	 1.060099976E+03
