,pressure,mean,std,variance
125,101.21418293293293,,,
126,101.0995213963964,,,
127,100.98485985985985,,,
128,100.87019832332332,,,
129,100.75553678678679,,,
130,100.64087525025025,,,
131,100.52621371371372,,,
132,100.41155217717719,,,
133,100.29689064064064,,,
134,100.18222910410411,,,
135,100.06756756756756,,,
136,99.95290603103103,,,
137,99.83824449449449,,,
138,99.72358295795796,,,
139,99.60892142142143,,,
140,99.49425988488488,,,
141,99.37959834834835,,,
142,99.26493681181181,,,
143,99.15027527527528,,,
144,99.03561373873873,,,
145,98.9209522022022,,,
146,98.80629066566567,,,
147,98.69162912912913,,,
148,98.5769675925926,,,
149,98.46230605605606,,,
150,98.34764451951952,,,
151,98.23298298298297,,,
152,98.11832144644644,,,
153,98.00365990990991,,,
154,97.88899837337337,,,
155,97.77433683683684,,,
156,97.65967530030031,,,
157,97.54501376376376,,,
158,97.43035222722723,,,
159,97.31569069069069,,,
160,97.20102915415416,,,
161,97.08636761761761,,,
162,96.97170608108108,,,
163,96.85704454454455,,,
164,96.742383008008,,,
165,96.62772147147147,,,
166,96.51305993493494,,,
167,96.3983983983984,,,
168,96.28373686186185,,,
169,96.16907532532532,,,
170,96.05441378878879,,,
171,95.93975225225225,,,
172,95.82509071571572,,,
173,95.71042917917919,,,
174,95.59576764264264,,,
175,95.48110610610611,,,
176,95.36644456956957,,,
177,95.25178303303304,,,
178,95.13712149649649,,,
179,95.02245995995996,,,
180,94.90779842342343,,,
181,94.79313688688688,,,
182,94.67847535035035,,,
183,94.56381381381382,,,
184,94.44915227727728,,,
185,94.33449074074073,,,
186,94.2198292042042,,,
187,94.10516766766767,,,
188,93.99050613113113,,,
189,93.8758445945946,,,
190,93.76118305805807,,,
191,93.64652152152152,,,
192,93.53185998498499,,,
193,93.41719844844845,,,
194,93.30253691191191,,,
195,93.18787537537537,,,
196,93.07321383883884,,,
197,92.95855230230231,,,
198,92.84389076576576,,,
199,92.72922922922923,,,
200,92.6145676926927,,,
201,92.49990615615616,,,
202,92.38524461961961,,,
203,92.27058308308308,,,
204,92.15592154654655,,,
205,92.04126001001,,,
206,91.92659847347348,,,
207,91.81193693693695,,,
208,91.6972754004004,,,
209,91.58261386386387,,,
210,91.46795232732732,,,
211,91.3532907907908,,,
212,91.23862925425425,,,
213,91.12396771771772,,,
214,91.00930618118119,,,
215,90.89464464464464,,,
216,90.77998310810811,,,
217,90.66532157157157,,,
218,90.55066003503504,,,
219,90.43599849849849,,,
220,90.32133696196196,,,
221,90.20667542542543,,,
222,90.09201388888889,,,
223,89.97735235235236,,,
224,89.86269081581582,,,
225,89.74802927927928,,,
226,89.63336774274275,,,
227,89.5187062062062,,,
228,89.40404466966967,,,
229,89.28938313313313,,,
230,89.1747215965966,,,
231,89.06006006006007,,,
232,88.94539852352352,,,
233,88.83073698698699,,,
234,88.71607545045045,,,
235,88.60141391391392,,,
236,88.48675237737737,,,
237,88.37209084084084,,,
238,88.25742930430431,,,
239,88.14276776776777,,,
240,88.02810623123123,,,
241,87.9134446946947,,,
242,87.79878315815816,,,
243,87.68412162162161,,,
244,87.56946008508508,,,
245,87.45479854854855,,,
246,87.34013701201201,,,
247,87.22547547547548,,,
248,87.11081393893895,,,
249,86.9961524024024,,,
250,86.88149086586587,,,
251,86.76682932932933,,,
252,86.6521677927928,,,
253,86.53750625625625,,,
254,86.42284471971972,,,
255,86.30818318318319,,,
256,86.19352164664664,,,
257,86.07886011011011,,,
258,85.96419857357358,,,
259,85.84953703703704,,,
260,85.7348755005005,,,
261,85.62021396396396,,,
262,85.50555242742743,,,
263,85.39089089089089,,,
264,85.27622935435436,,,
265,85.16156781781783,,,
266,85.04690628128128,,,
267,84.93224474474475,,,
268,84.8175832082082,,,
269,84.70292167167167,,,
270,84.58826013513513,,,
271,84.4735985985986,,,
272,84.35893706206207,,,
273,84.24427552552552,,,
274,84.129613988989,,,
275,84.01495245245246,,,
276,83.90029091591592,,,
277,83.78562937937937,,,
278,83.67096784284284,,,
279,83.55630630630631,,,
280,83.44164476976977,,,
281,83.32698323323324,,,
282,83.2123216966967,,,
283,83.09766016016016,,,
284,82.98299862362362,,,
285,82.8683370870871,,,
286,82.75367555055055,,,
287,82.63901401401401,,,
288,82.52435247747748,,,
289,82.40969094094095,,,
290,82.2950294044044,,,
291,82.18036786786787,,,
292,82.06570633133134,,,
293,81.9510447947948,,,
294,81.83638325825825,,,
295,81.72172172172172,,,
296,81.60706018518519,,,
297,81.49239864864865,,,
298,81.37773711211211,,,
299,81.26307557557558,,,
300,81.14841403903904,,,
301,81.0337525025025,,,
302,80.91909096596596,,,
303,80.80442942942943,,,
304,80.68976789289289,,,
305,80.57510635635636,,,
306,80.46044481981983,,,
307,80.34578328328328,,,
308,80.23112174674675,,,
309,80.11646021021022,,,
310,80.00179867367368,,,
311,79.88713713713713,,,
312,79.7724756006006,,,
313,79.65781406406407,,,
314,79.54315252752752,,,
315,79.428490990991,,,
316,79.31382945445446,,,
317,79.19916791791792,,,
318,79.08450638138137,,,
319,78.96984484484484,,,
320,78.85518330830831,,,
321,78.74052177177177,,,
322,78.62586023523524,,,
323,78.5111986986987,,,
324,78.39653716216216,,,
325,78.28187562562562,,,
326,78.1672140890891,,,
327,78.05255255255256,,,
328,77.93789101601601,,,
329,77.82322947947948,,,
330,77.70856794294295,,,
331,77.5939064064064,,,
332,77.47924486986987,,,
333,77.36458333333334,,,
334,77.2499217967968,,,
335,77.13526026026025,,,
336,77.02059872372372,,,
337,76.90593718718719,,,
338,76.79127565065065,,,
339,76.67661411411412,,,
340,76.56195257757759,,,
341,76.44729104104104,,,
342,76.3326295045045,,,
343,76.21796796796798,,,
344,76.10330643143143,,,
345,75.98864489489489,,,
346,75.87398335835836,,,
347,75.75932182182183,,,
348,75.64466028528528,,,
349,75.52999874874875,,,
350,75.41533721221222,,,
351,75.30067567567568,,,
352,75.18601413913913,,,
353,75.0713526026026,,,
354,74.95669106606607,,,
355,74.84202952952953,,,
356,74.727367992993,,,
357,74.61270645645646,,,
358,74.49804491991992,,,
359,74.38338338338338,,,
360,74.26872184684686,,,
361,74.15406031031031,,,
362,74.03939877377377,,,
363,73.92473723723724,,,
364,73.81007570070071,,,
365,73.69541416416416,,,
366,73.58075262762763,,,
367,73.4660910910911,,,
368,73.35142955455456,,,
369,73.23676801801801,,,
370,73.12210648148148,,,
371,73.00744494494495,,,
372,72.8927834084084,,,
373,72.77812187187187,,,
374,72.66346033533534,,,
375,72.5487987987988,,,
376,72.43413726226225,,,
377,72.31947572572574,,,
378,72.2048141891892,,,
379,72.09015265265265,,,
380,71.97549111611612,,,
381,71.86082957957959,,,
382,71.74616804304304,,,
383,71.63150650650651,,,
384,71.51684496996998,,,
385,71.40218343343344,,,
386,71.28752189689689,,,
387,71.17286036036036,,,
388,71.05819882382383,,,
389,70.94353728728728,,,
390,70.82887575075075,,,
391,70.71421421421422,,,
392,70.59955267767768,,,
393,70.48489114114113,,,
394,70.3702296046046,,,
395,70.25556806806807,,,
396,70.14090653153153,,,
397,70.026244994995,,,
398,69.91158345845847,,,
399,69.79692192192192,,,
400,69.68226038538539,,,
401,69.56759884884886,,,
402,69.45293731231232,,,
403,69.33827577577577,,,
404,69.22361423923924,,,
405,69.10895270270271,,,
406,68.99429116616616,,,
407,68.87962962962963,,,
408,68.7649680930931,,,
409,68.65030655655656,,,
410,68.53564502002001,,,
411,68.42098348348348,,,
412,68.30632194694695,,,
413,68.1916604104104,,,
414,68.07699887387388,,,
415,67.96233733733735,,,
416,67.8476758008008,,,
417,67.73301426426426,,,
418,67.61835272772774,,,
419,67.5036911911912,,,
420,67.38902965465465,,,
421,67.27436811811812,,,
422,67.15970658158159,,,
423,67.04504504504504,,,
424,66.93038350850851,,,
425,66.81572197197198,,,
426,66.70106043543544,,,
427,66.58639889889889,,,
428,66.47173736236236,,,
429,66.35707582582583,,,
430,66.24241428928929,,,
431,66.12775275275276,,,
432,66.01309121621622,,,
433,65.89842967967968,,,
434,65.78376814314313,,,
435,65.66910660660662,,,
436,65.55444507007007,,,
437,65.43978353353353,,,
438,65.325121996997,,,
439,65.21046046046047,,,
440,65.09579892392392,,,
441,64.98113738738739,,,
442,64.86647585085086,,,
443,64.75181431431432,,,
444,64.63715277777777,,,
445,64.52249124124124,,,
446,64.40782970470471,,,
447,64.29316816816817,,,
448,64.17850663163163,,,
449,64.0638450950951,,,
450,63.94918355855856,,,
451,63.83452202202202,,,
452,63.71986048548549,,,
453,63.60519894894895,,,
454,63.490537412412415,,,
455,63.37587587587588,,,
456,63.26121433933934,,,
457,63.1465528028028,,,
458,63.03189126626627,,,
459,62.91722972972973,,,
460,62.802568193193196,,,
461,62.68790665665666,,,
462,62.57324512012012,,,
463,62.45858358358358,,,
464,62.34392204704705,,,
465,62.229260510510514,,,
466,62.114598973973976,,,
467,61.99993743743744,,,
468,61.8852759009009,,,
469,61.77061436436437,,,
470,61.65595282782783,,,
471,61.541291291291294,,,
472,61.42662975475476,,,
473,61.31196821821822,,,
474,61.19730668168168,,,
475,61.08264514514515,,,
476,60.96798360860861,,,
477,60.853322072072075,,,
478,60.73866053553554,,,
479,60.623998998999,,,
480,60.50933746246246,,,
481,60.39467592592593,,,
482,60.28001438938939,,,
483,60.165352852852855,,,
484,60.05069131631632,,,
485,59.93602977977978,,,
486,59.82136824324324,,,
487,59.70670670670671,,,
488,59.592045170170174,,,
489,59.477383633633636,,,
490,59.3627220970971,,,
491,59.24806056056056,,,
492,59.13339902402403,,,
493,59.01873748748749,,,
494,58.904075950950954,,,
495,58.789414414414416,,,
496,58.67475287787788,,,
497,58.56009134134134,,,
498,58.44542980480481,,,
499,58.33076826826827,,,
500,58.216106731731735,,,
501,58.1014451951952,,,
502,57.98678365865866,,,
503,57.87212212212212,,,
504,57.75746058558559,,,
505,57.64279904904905,,,
506,57.528137512512515,,,
507,57.41347597597598,,,
508,57.29881443943944,,,
509,57.1841529029029,,,
510,57.06949136636637,,,
511,56.95482982982983,,,
512,56.840168293293296,,,
513,56.72550675675676,,,
514,56.61084522022022,,,
515,56.49618368368369,,,
516,56.38152214714715,,,
517,56.266860610610614,,,
518,56.152199074074076,,,
519,56.03753753753754,,,
520,55.922876001001,,,
521,55.80821446446447,,,
522,55.69355292792793,,,
523,55.578891391391394,,,
524,55.46422985485486,,,
525,55.34956831831832,,,
526,55.23490678178178,,,
527,55.12024524524525,,,
528,55.00558370870871,,,
529,54.890922172172175,,,
530,54.77626063563564,,,
531,54.6615990990991,,,
532,54.54693756256256,,,
533,54.43227602602603,,,
534,54.31761448948949,,,
535,54.202952952952955,,,
536,54.08829141641642,,,
537,53.97362987987988,,,
538,53.85896834334335,,,
539,53.74430680680681,,,
540,53.629645270270274,,,
541,53.514983733733736,,,
542,53.4003221971972,,,
543,53.28566066066066,,,
544,53.17099912412413,,,
545,53.05633758758759,,,
546,52.941676051051054,,,
547,52.82701451451452,,,
548,52.71235297797798,,,
549,52.59769144144144,,,
550,52.48302990490491,,,
551,52.36836836836837,,,
552,52.253706831831835,,,
553,52.1390452952953,,,
554,52.02438375875876,,,
555,51.90972222222222,,,
556,51.79506068568569,,,
557,51.68039914914915,,,
558,51.565737612612615,,,
559,51.45107607607608,,,
560,51.33641453953955,,,
561,51.221753003003,,,
562,51.10709146646647,,,
563,50.992429929929926,,,
564,50.877768393393396,,,
565,50.763106856856865,,,
566,50.64844532032032,,,
567,50.53378378378379,,,
568,50.419122247247245,,,
569,50.304460710710714,,,
570,50.18979917417418,,,
571,50.07513763763764,,,
572,49.96047610110111,,,
573,49.84581456456456,,,
574,49.73115302802803,,,
575,49.61649149149149,,,
576,49.50182995495496,,,
577,49.387168418418426,,,
578,49.27250688188188,,,
579,49.15784534534535,,,
580,49.043183808808806,,,
581,48.928522272272275,,,
582,48.813860735735744,,,
583,48.6991991991992,,,
584,48.58453766266267,,,
585,48.469876126126124,,,
586,48.35521458958959,,,
587,48.24055305305306,,,
588,48.12589151651652,,,
589,48.01122997997999,,,
590,47.89656844344344,,,
591,47.78190690690691,,,
592,47.66724537037037,,,
593,47.552583833833836,,,
594,47.437922297297305,,,
595,47.32326076076076,,,
596,47.20859922422423,,,
597,47.093937687687685,,,
598,46.979276151151154,,,
599,46.864614614614624,,,
600,46.74995307807808,,,
601,46.63529154154155,,,
602,46.520630005005,,,
603,46.40596846846847,,,
604,46.29130693193193,,,
605,46.1766453953954,,,
606,46.061983858858866,,,
607,45.94732232232232,,,
608,45.83266078578579,,,
609,45.717999249249246,,,
610,45.603337712712715,,,
611,45.488676176176185,,,
612,45.37401463963964,,,
613,45.25935310310311,,,
614,45.144691566566564,,,
615,45.030030030030034,,,
616,44.9153684934935,,,
617,44.80070695695696,,,
618,44.68604542042043,,,
619,44.57138388388388,,,
620,44.45672234734735,,,
621,44.34206081081081,,,
622,44.227399274274276,,,
623,44.112737737737746,,,
624,43.9980762012012,,,
625,43.88341466466467,,,
626,43.768753128128125,,,
627,43.654091591591595,,,
628,43.539430055055064,,,
629,43.42476851851852,,,
630,43.31010698198199,,,
631,43.19544544544544,,,
632,43.08078390890891,,,
633,42.96612237237238,,,
634,42.85146083583584,,,
635,42.73679929929931,,,
636,42.62213776276276,,,
637,42.50747622622623,,,
638,42.392814689689686,,,
639,42.278153153153156,,,
640,42.163491616616625,,,
641,42.04883008008008,,,
642,41.93416854354355,,,
643,41.819507007007005,,,
644,41.704845470470474,,,
645,41.59018393393394,,,
646,41.4755223973974,,,
647,41.36086086086087,,,
648,41.24619932432432,,,
649,41.13153778778779,,,
650,41.01687625125125,,,
651,40.90221471471472,,,
652,40.787553178178186,,,
653,40.67289164164164,,,
654,40.55823010510511,,,
655,40.443568568568566,,,
656,40.328907032032035,,,
657,40.214245495495504,,,
658,40.09958395895896,,,
659,39.98492242242243,,,
660,39.870260885885884,,,
661,39.75559934934935,,,
662,39.64093781281282,,,
663,39.52627627627628,,,
664,39.41161473973975,,,
665,39.2969532032032,,,
666,39.18229166666667,,,
667,39.06763013013013,,,
668,38.952968593593596,,,
669,38.838307057057065,,,
670,38.72364552052052,,,
671,38.60898398398399,,,
672,38.494322447447445,,,
673,38.379660910910914,,,
674,38.26499937437438,,,
675,38.15033783783784,,,
676,38.03567630130131,,,
677,37.92101476476476,,,
678,37.80635322822823,,,
679,37.6916916916917,,,
680,37.57703015515516,,,
681,37.462368618618626,,,
682,37.34770708208208,,,
683,37.23304554554555,,,
684,37.118384009009006,,,
685,37.003722472472475,,,
686,36.889060935935944,,,
687,36.7743993993994,,,
688,36.65973786286287,,,
689,36.545076326326324,,,
690,36.43041478978979,,,
691,36.31575325325326,,,
692,36.20109171671672,,,
693,36.08643018018019,,,
694,35.97176864364364,,,
695,35.85710710710711,,,
696,35.74244557057057,,,
697,35.627784034034036,,,
698,35.513122497497505,,,
699,35.39846096096096,,,
700,35.28379942442443,,,
701,35.169137887887885,,,
702,35.054476351351354,,,
703,34.939814814814824,,,
704,34.82515327827828,,,
705,34.71049174174175,,,
706,34.5958302052052,,,
707,34.48116866866867,,,
708,34.36650713213214,,,
709,34.2518455955956,,,
710,34.13718405905907,,,
711,34.02252252252252,,,
712,33.90786098598599,,,
713,33.793199449449446,,,
714,33.678537912912915,,,
715,33.563876376376385,,,
716,33.44921483983984,,,
717,33.33455330330331,,,
718,33.219891766766764,,,
719,33.105230230230234,,,
720,32.9905686936937,,,
721,32.87590715715716,,,
722,32.76124562062063,,,
723,32.64658408408408,,,
724,32.53192254754755,,,
725,32.41726101101102,,,
726,32.302599474474476,,,
727,32.187937937937946,,,
728,32.0732764014014,,,
729,31.95861486486487,,,
730,31.843953328328325,,,
731,31.729291791791795,,,
732,31.614630255255264,,,
733,31.49996871871872,,,
734,31.38530718218219,,,
735,31.270645645645644,,,
736,31.155984109109113,,,
737,31.041322572572582,,,
738,30.926661036036037,,,
739,30.811999499499507,,,
740,30.697337962962962,,,
741,30.58267642642643,,,
742,30.468014889889886,,,
743,30.353353353353356,,,
744,30.238691816816825,,,
745,30.12403028028028,,,
746,30.00936874374375,,,
747,29.894707207207205,,,
748,29.780045670670674,,,
749,29.665384134134143,,,
750,29.5507225975976,,,
751,29.436061061061068,,,
752,29.321399524524523,,,
753,29.206737987987992,,,
754,29.09207645145146,,,
755,28.977414914914917,,,
756,28.862753378378386,,,
757,28.74809184184184,,,
758,28.63343030530531,,,
759,28.518768768768766,,,
760,28.404107232232235,,,
761,28.289445695695704,,,
762,28.17478415915916,,,
763,28.06012262262263,,,
764,27.945461086086084,,,
765,27.830799549549553,,,
766,27.716138013013023,,,
767,27.601476476476478,,,
768,27.486814939939947,,,
769,27.372153403403402,,,
770,27.25749186686687,,,
771,27.14283033033034,,,
772,27.028168793793796,,,
773,26.913507257257265,,,
774,26.79884572072072,,,
775,26.68418418418419,,,
776,26.569522647647645,,,
777,26.454861111111114,,,
778,26.340199574574584,,,
779,26.22553803803804,,,
780,26.110876501501508,,,
781,25.996214964964963,,,
782,25.881553428428433,,,
783,25.766891891891902,,,
784,25.652230355355357,,,
