SN:0141335,,
Time/s,Pressure/MPa,Temperature/°C
1823.98,67.6868,32.3
1826.98,67.6868,32.3
1829.98,67.6855,32.3
1832.98,67.6843,32.3
1835.98,67.6840,32.3
1838.98,67.6820,32.3
1841.98,67.6802,32.3
1844.98,67.6789,32.3
1847.98,67.6781,32.3
1850.98,67.6774,32.3
1853.98,67.6752,32.3
1856.98,67.6736,32.3
1859.98,67.6721,32.3
1862.98,67.6711,32.3
1865.98,67.6706,32.3
1868.98,67.6699,32.3
1871.98,67.6685,32.3
1874.98,67.6680,32.3
1877.98,67.6666,32.3
1880.98,67.6652,32.3
1883.98,67.6652,32.3
1886.98,67.6646,32.3
1889.98,67.6639,32.3
1892.98,67.6626,32.3
1895.98,67.6614,32.3
1898.98,67.6608,32.3
1901.98,67.6605,32.3
1904.98,67.6589,32.3
1907.98,67.6581,32.3
1910.98,67.6572,32.3
1913.98,67.6566,32.3
1916.98,67.6554,32.3
1919.98,67.6552,32.3
1922.98,67.6545,32.3
1925.98,67.6533,32.3
1928.98,67.6523,32.3
1931.98,67.6519,32.3
1934.98,67.6505,32.3
1937.98,67.6498,32.3
1940.98,67.6492,32.3
1943.98,67.6478,32.3
1946.98,67.6466,32.3
1949.98,67.6450,32.3
1952.98,67.6451,32.3
1955.98,67.6435,32.3
1958.98,67.6428,32.3
1961.98,67.6417,32.3
1964.98,67.6409,32.3
1967.98,67.6390,32.3
1970.98,67.6380,32.3
1973.98,67.6374,32.3
1976.98,67.6366,32.3
1979.98,67.6356,32.3
1982.98,67.6340,32.3
1985.98,67.6333,32.3
1988.98,67.6320,32.3
1991.98,64.5086,32.3
1994.98,64.7356,32.3
1997.98,64.7707,32.3
2000.98,64.7814,32.3
2003.98,64.7882,32.3
2006.98,64.7945,32.3
2009.98,64.7974,32.3
2012.98,64.8001,32.3
2015.98,64.8003,32.3
2018.98,64.8013,32.3
2021.98,64.7997,32.3
2024.98,64.7988,32.3
2027.98,64.7993,32.3
2030.98,66.0336,32.3
2033.98,66.5784,32.3
2036.98,66.4804,32.3
2039.98,66.4626,32.3
2042.98,66.4572,32.3
2045.98,66.4555,32.3
2048.98,66.4555,32.3
2051.98,66.4559,32.3
2054.98,66.4568,32.3
2057.98,66.4573,32.3
2060.98,66.4589,32.3
2063.98,66.4586,32.3
2066.98,66.4588,32.3
