X-Axis	CC14_MI2_H2O_96mw
 1.247177031E+03	 1.339400024E+03
 1.251537666E+03	 1.338500000E+03
 1.255896072E+03	 1.325800049E+03
 1.260252251E+03	 1.335900024E+03
 1.264606204E+03	 1.334199951E+03
 1.268957932E+03	 1.335000000E+03
 1.273307438E+03	 1.338099976E+03
 1.277654722E+03	 1.322599976E+03
 1.281999787E+03	 1.324199951E+03
 1.286342633E+03	 1.324800049E+03
 1.290683261E+03	 1.316599976E+03
 1.295021675E+03	 1.318199951E+03
 1.299357874E+03	 1.330500000E+03
 1.303691861E+03	 1.322500000E+03
 1.308023636E+03	 1.320400024E+03
 1.312353202E+03	 1.321699951E+03
 1.316680560E+03	 1.323699951E+03
 1.321005711E+03	 1.321000000E+03
 1.325328657E+03	 1.324900024E+03
 1.329649400E+03	 1.328300049E+03
 1.333967940E+03	 1.324099976E+03
 1.338284279E+03	 1.325199951E+03
 1.342598420E+03	 1.319300049E+03
 1.346910362E+03	 1.316599976E+03
 1.351220109E+03	 1.324099976E+03
 1.355527660E+03	 1.328099976E+03
 1.359833018E+03	 1.315400024E+03
 1.364136185E+03	 1.316699951E+03
 1.368437161E+03	 1.318000000E+03
 1.372735949E+03	 1.320800049E+03
 1.377032549E+03	 1.319199951E+03
 1.381326964E+03	 1.321000000E+03
 1.385619194E+03	 1.316900024E+03
 1.389909241E+03	 1.318900024E+03
 1.394197107E+03	 1.322800049E+03
 1.398482793E+03	 1.315800049E+03
 1.402766301E+03	 1.319199951E+03
 1.407047632E+03	 1.323000000E+03
 1.411326788E+03	 1.320699951E+03
 1.415603770E+03	 1.320199951E+03
 1.419878580E+03	 1.336900024E+03
 1.424151219E+03	 1.328800049E+03
 1.428421688E+03	 1.335300049E+03
 1.432689990E+03	 1.334599976E+03
 1.436956126E+03	 1.341300049E+03
 1.441220096E+03	 1.343000000E+03
 1.445481903E+03	 1.335800049E+03
 1.449741549E+03	 1.338500000E+03
 1.453999034E+03	 1.336800049E+03
 1.458254360E+03	 1.338500000E+03
 1.462507529E+03	 1.337000000E+03
 1.466758543E+03	 1.350300049E+03
 1.471007402E+03	 1.334500000E+03
 1.475254108E+03	 1.338099976E+03
 1.479498663E+03	 1.342099976E+03
 1.483741068E+03	 1.342599976E+03
 1.487981325E+03	 1.335599976E+03
 1.492219435E+03	 1.339599976E+03
 1.496455400E+03	 1.341900024E+03
 1.500689221E+03	 1.347599976E+03
 1.504920900E+03	 1.335300049E+03
 1.509150438E+03	 1.334000000E+03
 1.513377836E+03	 1.334500000E+03
 1.517603098E+03	 1.349599976E+03
 1.521826222E+03	 1.328699951E+03
 1.526047213E+03	 1.336800049E+03
 1.530266070E+03	 1.337300049E+03
 1.534482795E+03	 1.337500000E+03
 1.538697390E+03	 1.319599976E+03
 1.542909856E+03	 1.328300049E+03
