X-Axis	CC4_MI1_H2O
 7.858258154E+02	 1.963500000E+03
 7.904235988E+02	 1.958599976E+03
 7.950190112E+02	 1.958199951E+03
 7.996120539E+02	 1.956300049E+03
 8.042027282E+02	 1.955300049E+03
 8.087910353E+02	 1.976900024E+03
 8.133769766E+02	 2.024300049E+03
 8.179605532E+02	 2.164300049E+03
 8.225417664E+02	 2.382699951E+03
 8.271206175E+02	 2.570199951E+03
 8.316971078E+02	 2.475500000E+03
 8.362712385E+02	 2.356899902E+03
 8.408430111E+02	 2.341399902E+03
 8.454124266E+02	 2.486399902E+03
 8.499794864E+02	 2.867300049E+03
 8.545441919E+02	 3.496199951E+03
 8.591065442E+02	 3.885300049E+03
 8.636665448E+02	 3.525300049E+03
 8.682241949E+02	 2.890300049E+03
 8.727794957E+02	 2.458100098E+03
 8.773324487E+02	 2.260199951E+03
 8.818830551E+02	 2.164199951E+03
 8.864313162E+02	 2.135300049E+03
 8.909772334E+02	 2.092500000E+03
 8.955208079E+02	 2.080399902E+03
 9.000620411E+02	 2.076600098E+03
 9.046009344E+02	 2.087399902E+03
 9.091374889E+02	 2.146399902E+03
 9.136717061E+02	 2.183000000E+03
 9.182035873E+02	 2.269000000E+03
 9.227331339E+02	 2.367300049E+03
 9.272603471E+02	 2.304800049E+03
 9.317852282E+02	 2.235500000E+03
 9.363077788E+02	 2.218000000E+03
 9.408280000E+02	 2.237500000E+03
 9.453458932E+02	 2.285000000E+03
 9.498614598E+02	 2.358300049E+03
 9.543747012E+02	 2.396199951E+03
 9.588856186E+02	 2.465600098E+03
 9.633942135E+02	 2.479000000E+03
 9.679004872E+02	 2.452100098E+03
 9.724044410E+02	 2.411899902E+03
 9.769060763E+02	 2.369199951E+03
 9.814053946E+02	 2.345500000E+03
 9.859023970E+02	 2.336100098E+03
 9.903970852E+02	 2.337300049E+03
 9.948894603E+02	 2.339899902E+03
 9.993795238E+02	 2.329300049E+03
 1.003867277E+03	 2.341899902E+03
 1.008352721E+03	 2.338000000E+03
 1.012835858E+03	 2.317699951E+03
 1.017316689E+03	 2.287699951E+03
 1.021795215E+03	 2.267300049E+03
 1.026271438E+03	 2.252899902E+03
 1.030745358E+03	 2.204899902E+03
 1.035216979E+03	 2.187199951E+03
 1.039686300E+03	 2.150800049E+03
 1.044153323E+03	 2.133699951E+03
 1.048618050E+03	 2.094100098E+03
 1.053080482E+03	 2.078600098E+03
 1.057540620E+03	 2.034900024E+03
 1.061998466E+03	 2.008599976E+03
 1.066454022E+03	 1.990300049E+03
 1.070907288E+03	 1.966199951E+03
 1.075358266E+03	 1.937199951E+03
 1.079806958E+03	 1.921099976E+03
 1.084253364E+03	 1.886900024E+03
 1.088697487E+03	 1.868500000E+03
 1.093139327E+03	 1.839699951E+03
 1.097578887E+03	 1.827500000E+03
 1.102016167E+03	 1.787599976E+03
 1.106451169E+03	 1.771500000E+03
 1.110883895E+03	 1.747400024E+03
