X-Axis	MS13_2_MI1_H2O
 1.281999787E+03	 1.490500000E+03
 1.286342633E+03	 1.493800049E+03
 1.290683261E+03	 1.494599976E+03
 1.295021675E+03	 1.494400024E+03
 1.299357874E+03	 1.493300049E+03
 1.303691861E+03	 1.496699951E+03
 1.308023636E+03	 1.500900024E+03
 1.312353202E+03	 1.505599976E+03
 1.316680560E+03	 1.501000000E+03
 1.321005711E+03	 1.510099976E+03
 1.325328657E+03	 1.497300049E+03
 1.329649400E+03	 1.497500000E+03
 1.333967940E+03	 1.507199951E+03
 1.338284279E+03	 1.500199951E+03
 1.342598420E+03	 1.499599976E+03
 1.346910362E+03	 1.493800049E+03
 1.351220109E+03	 1.506400024E+03
 1.355527660E+03	 1.491000000E+03
 1.359833018E+03	 1.486599976E+03
 1.364136185E+03	 1.494000000E+03
 1.368437161E+03	 1.495300049E+03
 1.372735949E+03	 1.493500000E+03
 1.377032549E+03	 1.493699951E+03
 1.381326964E+03	 1.486400024E+03
 1.385619194E+03	 1.491400024E+03
 1.389909241E+03	 1.482300049E+03
 1.394197107E+03	 1.487800049E+03
 1.398482793E+03	 1.502400024E+03
 1.402766301E+03	 1.501400024E+03
 1.407047632E+03	 1.495800049E+03
 1.411326788E+03	 1.501599976E+03
 1.415603770E+03	 1.495400024E+03
 1.419878580E+03	 1.488500000E+03
 1.424151219E+03	 1.512699951E+03
 1.428421688E+03	 1.511699951E+03
 1.432689990E+03	 1.500900024E+03
 1.436956126E+03	 1.508099976E+03
 1.441220096E+03	 1.511000000E+03
 1.445481903E+03	 1.517199951E+03
 1.449741549E+03	 1.507800049E+03
 1.453999034E+03	 1.507900024E+03
 1.458254360E+03	 1.508500000E+03
 1.462507529E+03	 1.512099976E+03
 1.466758543E+03	 1.511099976E+03
 1.471007402E+03	 1.509300049E+03
 1.475254108E+03	 1.504900024E+03
 1.479498663E+03	 1.504300049E+03
 1.483741068E+03	 1.502000000E+03
 1.487981325E+03	 1.510900024E+03
 1.492219435E+03	 1.506199951E+03
 1.496455400E+03	 1.499099976E+03
 1.500689221E+03	 1.498599976E+03
 1.504920900E+03	 1.510099976E+03
 1.509150438E+03	 1.491199951E+03
 1.513377836E+03	 1.506000000E+03
 1.517603098E+03	 1.497800049E+03
 1.521826222E+03	 1.498099976E+03
 1.526047213E+03	 1.498400024E+03
 1.530266070E+03	 1.494800049E+03
 1.534482795E+03	 1.493599976E+03
 1.538697390E+03	 1.494800049E+03
 1.542909856E+03	 1.484900024E+03
 1.547120196E+03	 1.487699951E+03
 1.551328409E+03	 1.494199951E+03
 1.555534499E+03	 1.496199951E+03
 1.559738465E+03	 1.492900024E+03
 1.563940311E+03	 1.483000000E+03
 1.568140037E+03	 1.480599976E+03
 1.572337645E+03	 1.486699951E+03
 1.576533136E+03	 1.488400024E+03
 1.580726512E+03	 1.494800049E+03
 1.584917774E+03	 1.490400024E+03
 1.589106925E+03	 1.491400024E+03
 1.593293965E+03	 1.480800049E+03
 1.597478896E+03	 1.491900024E+03
 1.601661719E+03	 1.493599976E+03
 1.605842436E+03	 1.499599976E+03
 1.610021048E+03	 1.497900024E+03
 1.614197558E+03	 1.485500000E+03
 1.618371966E+03	 1.493800049E+03
 1.622544274E+03	 1.486900024E+03
 1.626714484E+03	 1.495699951E+03
 1.630882596E+03	 1.488699951E+03
 1.635048613E+03	 1.488900024E+03
 1.639212536E+03	 1.473900024E+03
 1.643374367E+03	 1.485300049E+03
 1.647534106E+03	 1.483900024E+03
 1.651691756E+03	 1.478300049E+03
 1.655847318E+03	 1.484000000E+03
 1.660000794E+03	 1.480300049E+03
 1.664152185E+03	 1.483000000E+03
 1.668301492E+03	 1.473900024E+03
 1.672448717E+03	 1.481599976E+03
 1.676593862E+03	 1.488400024E+03
 1.680736928E+03	 1.485599976E+03
 1.684877916E+03	 1.492900024E+03
 1.689016829E+03	 1.474699951E+03
 1.693153667E+03	 1.474099976E+03
 1.697288433E+03	 1.477099976E+03
 1.701421127E+03	 1.488500000E+03
 1.705551751E+03	 1.484099976E+03
 1.709680306E+03	 1.486599976E+03
 1.713806795E+03	 1.480099976E+03
 1.717931218E+03	 1.483000000E+03
 1.722053578E+03	 1.479599976E+03
 1.726173875E+03	 1.491500000E+03
 1.730292111E+03	 1.486400024E+03
 1.734408288E+03	 1.478699951E+03
 1.738522407E+03	 1.480500000E+03
 1.742634469E+03	 1.485300049E+03
 1.746744477E+03	 1.479400024E+03
 1.750852431E+03	 1.485599976E+03
 1.754958334E+03	 1.481500000E+03
 1.759062186E+03	 1.472500000E+03
 1.763163989E+03	 1.474199951E+03
 1.767263745E+03	 1.474500000E+03
 1.771361455E+03	 1.481900024E+03
 1.775457121E+03	 1.480900024E+03
 1.779550743E+03	 1.481699951E+03
 1.783642325E+03	 1.481599976E+03
 1.787731866E+03	 1.478500000E+03
 1.791819369E+03	 1.471800049E+03
 1.795904835E+03	 1.475300049E+03
 1.799988266E+03	 1.472599976E+03
 1.804069663E+03	 1.477599976E+03
 1.808149027E+03	 1.479900024E+03
 1.812226361E+03	 1.475300049E+03
 1.816301665E+03	 1.469699951E+03
 1.820374941E+03	 1.480699951E+03
 1.824446190E+03	 1.474599976E+03
 1.828515415E+03	 1.471599976E+03
 1.832582616E+03	 1.472000000E+03
 1.836647796E+03	 1.472500000E+03
 1.840710954E+03	 1.474099976E+03
 1.844772094E+03	 1.468099976E+03
 1.848831216E+03	 1.466300049E+03
 1.852888323E+03	 1.474500000E+03
 1.856943414E+03	 1.464599976E+03
 1.860996493E+03	 1.473000000E+03
 1.865047560E+03	 1.472300049E+03
 1.869096617E+03	 1.474900024E+03
 1.873143665E+03	 1.476599976E+03
 1.877188707E+03	 1.473400024E+03
 1.881231742E+03	 1.476699951E+03
 1.885272774E+03	 1.482599976E+03
 1.889311803E+03	 1.470300049E+03
 1.893348830E+03	 1.480300049E+03
 1.897383858E+03	 1.481400024E+03
 1.901416888E+03	 1.467500000E+03
 1.905447921E+03	 1.469300049E+03
 1.909476959E+03	 1.485099976E+03
 1.913504003E+03	 1.474099976E+03
 1.917529054E+03	 1.464199951E+03
 1.921552115E+03	 1.465699951E+03
 1.925573187E+03	 1.474900024E+03
 1.929592270E+03	 1.468300049E+03
 1.933609367E+03	 1.468599976E+03
 1.937624479E+03	 1.469599976E+03
 1.941637608E+03	 1.468199951E+03
 1.945648755E+03	 1.476699951E+03
 1.949657921E+03	 1.462599976E+03
 1.953665108E+03	 1.472000000E+03
 1.957670317E+03	 1.483300049E+03
 1.961673551E+03	 1.481500000E+03
 1.965674810E+03	 1.473900024E+03
 1.969674095E+03	 1.475199951E+03
 1.973671409E+03	 1.481500000E+03
 1.977666753E+03	 1.476300049E+03
 1.981660127E+03	 1.476099976E+03
 1.985651535E+03	 1.487800049E+03
 1.989640976E+03	 1.488599976E+03
 1.993628453E+03	 1.475000000E+03
 1.997613968E+03	 1.487000000E+03
 2.001597520E+03	 1.491000000E+03
 2.005579113E+03	 1.483699951E+03
 2.009558747E+03	 1.485599976E+03
 2.013536424E+03	 1.490599976E+03
 2.017512146E+03	 1.492199951E+03
 2.021485913E+03	 1.489099976E+03
 2.025457727E+03	 1.496800049E+03
 2.029427590E+03	 1.500000000E+03
 2.033395504E+03	 1.493500000E+03
 2.037361469E+03	 1.490099976E+03
 2.041325487E+03	 1.488599976E+03
 2.045287559E+03	 1.492900024E+03
 2.049247687E+03	 1.479500000E+03
