X-Axis	CC9_MI1_H2O_50X
 3.621699494E+02	 3.951399902E+03
 3.669857577E+02	 3.983000000E+03
 3.717990992E+02	 3.969000000E+03
 3.766099749E+02	 3.962800049E+03
 3.814183855E+02	 3.929800049E+03
 3.862243319E+02	 3.931899902E+03
 3.910278150E+02	 3.939899902E+03
 3.958288355E+02	 3.936100098E+03
 4.006273945E+02	 3.917699951E+03
 4.054234927E+02	 3.939500000E+03
 4.102171310E+02	 3.964500000E+03
 4.150083103E+02	 3.961300049E+03
 4.197970316E+02	 3.973399902E+03
 4.245832956E+02	 3.950699951E+03
 4.293671033E+02	 3.946300049E+03
 4.341484557E+02	 3.942800049E+03
 4.389273536E+02	 3.948300049E+03
 4.437037979E+02	 3.956100098E+03
 4.484777896E+02	 3.954500000E+03
 4.532493296E+02	 3.940800049E+03
 4.580184188E+02	 3.919899902E+03
 4.627850582E+02	 3.924300049E+03
 4.675492487E+02	 3.930899902E+03
 4.723109913E+02	 3.926199951E+03
 4.770702869E+02	 3.944399902E+03
 4.818271365E+02	 3.955199951E+03
 4.865815411E+02	 3.939300049E+03
 4.913335016E+02	 3.963000000E+03
 4.960830191E+02	 3.965600098E+03
 5.008300944E+02	 3.980000000E+03
 5.055747286E+02	 3.982300049E+03
 5.103169227E+02	 3.962000000E+03
 5.150566777E+02	 3.899500000E+03
 5.197939945E+02	 3.869899902E+03
 5.245288743E+02	 3.835600098E+03
 5.292613180E+02	 3.766600098E+03
 5.339913266E+02	 3.726399902E+03
 5.387189012E+02	 3.613600098E+03
 5.434440427E+02	 3.560300049E+03
 5.481667523E+02	 3.493000000E+03
 5.528870309E+02	 3.442399902E+03
 5.576048796E+02	 3.378199951E+03
 5.623202995E+02	 3.314800049E+03
 5.670332916E+02	 3.269300049E+03
 5.717438570E+02	 3.205800049E+03
 5.764519967E+02	 3.193399902E+03
 5.811577118E+02	 3.155500000E+03
 5.858610033E+02	 3.091800049E+03
 5.905618725E+02	 3.037399902E+03
 5.952603202E+02	 2.990100098E+03
 5.999563477E+02	 2.918199951E+03
 6.046499559E+02	 2.870300049E+03
 6.093411461E+02	 2.815100098E+03
 6.140299193E+02	 2.760500000E+03
 6.187162766E+02	 2.726500000E+03
 6.234002191E+02	 2.674300049E+03
 6.280817479E+02	 2.649000000E+03
 6.327608642E+02	 2.624800049E+03
 6.374375690E+02	 2.602399902E+03
 6.421118636E+02	 2.599399902E+03
 6.467837489E+02	 2.588399902E+03
 6.514532263E+02	 2.577399902E+03
 6.561202967E+02	 2.570300049E+03
 6.607849614E+02	 2.594300049E+03
 6.654472214E+02	 2.592600098E+03
 6.701070780E+02	 2.613000000E+03
 6.747645323E+02	 2.609000000E+03
 6.794195855E+02	 2.608699951E+03
 6.840722386E+02	 2.604100098E+03
 6.887224930E+02	 2.588300049E+03
 6.933703497E+02	 2.570600098E+03
 6.980158099E+02	 2.548300049E+03
 7.026588748E+02	 2.546100098E+03
 7.072995457E+02	 2.526000000E+03
 7.119378236E+02	 2.510199951E+03
 7.165737098E+02	 2.492399902E+03
 7.212072054E+02	 2.492199951E+03
 7.258383117E+02	 2.497100098E+03
 7.304670299E+02	 2.488800049E+03
 7.350933611E+02	 2.480199951E+03
 7.397173066E+02	 2.486300049E+03
 7.443388676E+02	 2.464899902E+03
 7.489580453E+02	 2.452699951E+03
 7.535748409E+02	 2.437500000E+03
 7.581892557E+02	 2.440000000E+03
 7.628012909E+02	 2.417300049E+03
 7.674109476E+02	 2.437300049E+03
 7.720182272E+02	 2.403000000E+03
 7.766231309E+02	 2.403300049E+03
 7.812256599E+02	 2.391100098E+03
 7.858258154E+02	 2.385500000E+03
 7.904235988E+02	 2.359399902E+03
 7.950190112E+02	 2.366500000E+03
 7.996120539E+02	 2.362600098E+03
 8.042027282E+02	 2.339800049E+03
 8.087910353E+02	 2.327300049E+03
 8.133769766E+02	 2.305600098E+03
 8.179605532E+02	 2.309199951E+03
 8.225417664E+02	 2.308300049E+03
 8.271206175E+02	 2.284399902E+03
 8.316971078E+02	 2.269500000E+03
 8.362712385E+02	 2.273699951E+03
 8.408430111E+02	 2.277500000E+03
 8.454124266E+02	 2.288600098E+03
 8.499794864E+02	 2.286600098E+03
 8.545441919E+02	 2.306899902E+03
 8.591065442E+02	 2.313500000E+03
 8.636665448E+02	 2.332000000E+03
 8.682241949E+02	 2.349800049E+03
 8.727794957E+02	 2.378100098E+03
 8.773324487E+02	 2.396600098E+03
 8.818830551E+02	 2.404699951E+03
 8.864313162E+02	 2.445100098E+03
 8.909772334E+02	 2.463500000E+03
 8.955208079E+02	 2.468699951E+03
